role,index,window,target,predicted,residual,percent_error
CS03-Q0103,171,development,351.87864902535927,329.3201309642948,-22.55851806106449,6.4108800359293
CS03-Q0103,172,development,353.4889004887188,330.66045637276574,-22.82844411595306,6.458037037200156
CS03-Q0103,173,development,356.0175749772649,332.5641730584573,-23.45340191880763,6.5877090254056565
CS03-Q0103,174,development,357.1513022520396,337.62073639125686,-19.530565860782758,5.468429132872138
CS03-Q0103,175,development,357.95268510163226,338.1285087490748,-19.82417635255746,5.538211383141
CS03-Q0103,176,development,359.74375495311443,339.02891211684897,-20.71484283626546,5.758221665019657
CS03-Q0103,177,development,361.28936169580464,340.0473076358463,-21.24205405995832,5.879512742986194
CS03-Q0103,178,development,363.33133057897385,340.14768362934745,-23.183646949626393,6.380855433711953
CS03-Q0103,179,development,364.736024114089,341.8738409609558,-22.862183153133174,6.268145080723342
CS03-Q0103,180,development,366.2127102883313,342.0097777205342,-24.20293256779712,6.6089821264645225
CS03-Q0103,181,development,367.9935754817403,342.3947728040355,-25.59880267770484,6.9563178227210765
CS03-Q0103,182,development,368.96843809573437,344.182275188656,-24.786162907078392,6.717691907470756
CS03-Q0103,183,development,370.050919212106,347.5522541904382,-22.49866502166782,6.0798835656376315
CS03-Q0103,184,development,373.06192837211285,347.81858237992265,-25.2433459921902,6.766529648935678
CS03-Q0103,185,development,373.86487391090856,348.6167102898628,-25.248163621045762,6.753285848154421
CS03-Q0103,186,development,375.82591276673935,348.84978350206757,-26.976129264671783,7.177825782708822
CS03-Q0103,187,development,376.32409223066804,351.1953212735741,-25.128770957093934,6.67742817318516
CS03-Q0103,188,development,378.4366802499655,351.5829078701697,-26.85377237979577,7.095975041863881
