control_type,control_id,N,s,z,E,degree,d0_residual,magnitude_min,magnitude_max,magnitude_range
inventory,shuffled_primes,3,(2+0j),0.15,1.862506114413633e-09,2,0.0,0.9999134112427364,0.999913414967426,3.724689667805592e-09
inventory,shuffled_primes,3,(2+0j),0.35,1.014147151890298e-08,2,0.0,0.9997979551581068,0.999797975436952,2.0278845269672274e-08
inventory,shuffled_primes,3,(2+0j),0.6,2.9807772061687733e-08,2,0.0,0.999653627967612,0.9996536875625088,5.959489679518981e-08
inventory,shuffled_primes,3,(1.5+0.75j),0.15,7.991517308131587e-08,2,0.0,1.000553617033196,1.0005537769510502,1.5991785429214644e-07
inventory,shuffled_primes,3,(1.5+0.75j),0.35,4.347715070191142e-07,2,0.0,1.0012916477070386,1.001292518367634,8.706605953978652e-07
inventory,shuffled_primes,3,(1.5+0.75j),0.6,1.276513928353254e-06,2,0.0,1.0022139844469662,1.0022165431108483,2.558663882101797e-06
inventory,random_increasing,3,(1.25+0j),0.15,1.7210234999540802e-05,2,0.0,0.9909412270728921,0.9909753363226976,3.4109249805514e-05
inventory,random_increasing,3,(1.25+0j),0.35,9.449271413143163e-05,2,0.0,0.9788886438648056,0.9790736570367847,0.00018501317197916478
inventory,random_increasing,3,(1.25+0j),0.6,0.00028064905863663385,2,0.0,0.9638648546861975,0.964406022092562,0.0005411674063644512
inventory,random_increasing,3,(1.5+0j),0.15,3.7120625933315204e-06,2,0.0,0.9957763783052216,0.9957837711011546,7.392795932981144e-06
inventory,random_increasing,3,(1.5+0j),0.35,2.02914778999918e-05,2,0.0,0.9901498505186676,0.9901900345416798,4.018402301220192e-05
inventory,random_increasing,3,(1.5+0j),0.6,5.9933198933696376e-05,2,0.0,0.9831247239453477,0.9832425746278298,0.0001178506824821568
inventory,random_increasing,3,(2+0j),0.15,1.813369086295869e-07,2,0.0,0.9990667008017583,0.999067063137158,3.623353996839995e-07
inventory,random_increasing,3,(2+0j),0.35,9.882088834558173e-07,2,0.0,0.9978224645717737,0.9978244366877698,1.97211599606284e-06
inventory,random_increasing,3,(2+0j),0.6,2.9075471661848737e-06,2,0.0,0.996267431243181,0.9962732246491186,5.793405937648544e-06
inventory,random_increasing,3,(1.5+0.75j),0.15,3.4485944925929127e-06,2,0.0,1.0026867333787999,1.002693649052893,6.915674093166402e-06
inventory,random_increasing,3,(1.5+0.75j),0.35,1.8733907565265404e-05,2,0.0,1.0062730417186523,1.0063107448675133,3.770314886097914e-05
inventory,random_increasing,3,(1.5+0.75j),0.6,5.490131349796287e-05,2,0.0,1.0107623168045725,1.0108733072226634,0.00011099041809092824
inventory,primes,4,(1.25+0j),0.15,0.004012065708669629,4,0.0,0.868121906019595,0.8751158847820986,0.006993978762503517
inventory,primes,4,(1.25+0j),0.35,0.024793114378561742,4,0.0,0.7003005651251284,0.7359075769385246,0.035607011813396205
inventory,primes,4,(1.25+0j),0.6,0.08678048882622422,4,0.0,0.5047177679830109,0.6006063244835339,0.09588855650052297
