n_atoms,base_word_length,group_order,base_primitive_necklaces,mixed_base_primitive_necklaces,base_necklaces_closing_after_one_traversal,mixed_members_closing_after_one_traversal,lifted_primitive_cycles_total,base_necklace_q_distribution_json,degree_distribution_sha256
2,5,7,48,48,16,16,144,"{""1"": 16, ""7"": 32}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,5,8,48,48,8,8,120,"{""1"": 8, ""4"": 16, ""8"": 24}",a2847322e239a552fe38af1e020f1ec5762f2802a51042838c284e03dcd390e5
2,6,2,116,116,56,56,172,"{""1"": 56, ""2"": 60}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,3,116,116,35,35,186,"{""1"": 35, ""3"": 81}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,4,116,116,38,38,248,"{""1"": 38, ""2"": 18, ""4"": 60}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,5,116,116,9,9,152,"{""1"": 9, ""5"": 107}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,6,116,116,9,9,260,"{""1"": 9, ""2"": 26, ""3"": 47, ""6"": 34}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,7,116,116,32,32,308,"{""1"": 32, ""7"": 84}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,6,8,116,116,38,38,400,"{""1"": 38, ""4"": 18, ""8"": 60}",25702e708fad30ac3e2dc1775bca5b0042903db7888e3bce87267ccd0c2dc233
2,7,2,312,312,156,156,468,"{""1"": 156, ""2"": 156}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,3,312,312,108,108,528,"{""1"": 108, ""3"": 204}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,4,312,312,76,76,620,"{""1"": 76, ""2"": 80, ""4"": 156}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,5,312,312,80,80,632,"{""1"": 80, ""5"": 232}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,6,312,312,12,12,708,"{""1"": 12, ""2"": 96, ""3"": 144, ""6"": 60}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,7,312,312,18,18,420,"{""1"": 18, ""7"": 294}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,7,8,312,312,64,64,876,"{""1"": 64, ""2"": 12, ""4"": 80, ""8"": 156}",542dc45384dabc5954ecc00964715ef03865fce7bc0479ff708df8dd86b40d06
2,8,2,810,810,400,400,1210,"{""1"": 400, ""2"": 410}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,3,810,810,267,267,1344,"{""1"": 267, ""3"": 543}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,4,810,810,167,167,1544,"{""1"": 167, ""2"": 233, ""4"": 410}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,5,810,810,222,222,1698,"{""1"": 222, ""5"": 588}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,6,810,810,137,137,2018,"{""1"": 137, ""2"": 130, ""3"": 263, ""6"": 280}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,7,810,810,13,13,888,"{""1"": 13, ""7"": 797}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,8,8,810,810,30,30,1664,"{""1"": 30, ""2"": 137, ""4"": 233, ""8"": 410}",92f325f90862988e76dbcb33bbdd19d8e02c0eb5f7397a1844ae1c8674a16550
2,9,2,2184,2184,1092,1092,3276,"{""1"": 1092, ""2"": 1092}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,3,2184,2184,726,726,3636,"{""1"": 726, ""3"": 1458}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,4,2184,2184,612,612,4500,"{""1"": 612, ""2"": 480, ""4"": 1092}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,5,2184,2184,330,330,3504,"{""1"": 330, ""5"": 1854}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,6,2184,2184,596,596,5920,"{""1"": 596, ""2"": 130, ""3"": 496, ""6"": 962}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,7,2184,2184,224,224,3528,"{""1"": 224, ""7"": 1960}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,9,8,2184,2184,16,16,4564,"{""1"": 16, ""2"": 596, ""4"": 480, ""8"": 1092}",9ffad87f2a77d6a7631cbd9366ed7a0a2adce34a833ecb635929142647958f89
2,10,2,5880,5880,2928,2928,8808,"{""1"": 2928, ""2"": 2952}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,3,5880,5880,1967,1967,9814,"{""1"": 1967, ""3"": 3913}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,4,5880,5880,1476,1476,11760,"{""1"": 1476, ""2"": 1452, ""4"": 2952}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,5,5880,5880,905,905,9500,"{""1"": 905, ""5"": 4975}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,6,5880,5880,1161,1161,15064,"{""1"": 1161, ""2"": 806, ""3"": 1767, ""6"": 2146}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,7,5880,5880,1336,1336,13896,"{""1"": 1336, ""7"": 4544}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
2,10,8,5880,5880,332,332,13088,"{""1"": 332, ""2"": 1144, ""4"": 1452, ""8"": 2952}",8a2baec7c335bd773a8464d2e82ef85317c06a8b21829f4740286ed04dcea8c2
3,1,2,7,4,3,3,10,"{""1"": 3, ""2"": 4}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,3,7,4,1,1,9,"{""1"": 1, ""3"": 6}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,4,7,4,0,0,10,"{""2"": 3, ""4"": 4}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,5,7,4,0,0,7,"{""5"": 7}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,6,7,4,0,0,12,"{""2"": 1, ""3"": 3, ""6"": 3}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,7,7,4,0,0,7,"{""7"": 7}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,1,8,7,4,0,0,10,"{""4"": 3, ""8"": 4}",cedaf5634ddcdaead81b3c14f8f833185a582a4ddd402643357e70b00e29ebd8
3,2,2,21,21,9,9,30,"{""1"": 9, ""2"": 12}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,3,21,21,9,9,39,"{""1"": 9, ""3"": 12}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,4,21,21,6,6,42,"{""1"": 6, ""2"": 3, ""4"": 12}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,5,21,21,3,3,33,"{""1"": 3, ""5"": 18}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,6,21,21,0,0,48,"{""2"": 9, ""3"": 9, ""6"": 3}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,7,21,21,0,0,21,"{""7"": 21}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,2,8,21,21,0,0,42,"{""2"": 6, ""4"": 3, ""8"": 12}",2bdf537505581ae9c266520bc4479c7fea33e5fc1a0110e62e2826c816d9f1d5
3,3,2,112,112,56,56,168,"{""1"": 56, ""2"": 56}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,3,3,112,112,34,34,180,"{""1"": 34, ""3"": 78}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,3,4,112,112,30,30,228,"{""1"": 30, ""2"": 26, ""4"": 56}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,3,5,112,112,36,36,256,"{""1"": 36, ""5"": 76}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,3,6,112,112,26,26,288,"{""1"": 26, ""2"": 8, ""3"": 30, ""6"": 48}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
3,3,7,112,112,12,12,184,"{""1"": 12, ""7"": 100}",2f39af6f04cc4b38e94a649ff6d94957f5121e9e391a27f33ea7e8981832585f
