schema_version,row_id,row_family,case_kind,action_case,comparison_case,subset_u,subset_v,arrow_open,subject_value,oracle_value,record_equal,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,AO-0078,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|2|3,,,0|1|2,0|1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0079,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,1|2|3,,,1|2|3,1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0080,INVOLUTION,DIAGNOSTIC,TRANSITIVE,,0|1|2|3,,,0|1|2|3,0|1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0081,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,EMPTY,,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0082,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0,,,0,0,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0083,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,1,,,3,3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0084,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|1,,,0|3,0|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0085,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,2,,,2,2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0086,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|2,,,0|2,0|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0087,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,1|2,,,2|3,2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0088,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|1|2,,,0|2|3,0|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0089,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,3,,,1,1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0090,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|3,,,0|1,0|1,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0091,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,1|3,,,1|3,1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0092,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|1|3,,,0|1|3,0|1|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0093,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,2|3,,,1|2,1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0094,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|2|3,,,0|1|2,0|1|2,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0095,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,1|2|3,,,1|2|3,1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0096,INVOLUTION,DIAGNOSTIC,NONTRANSITIVE,,0|1|2|3,,,0|1|2|3,0|1|2|3,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0097,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,EMPTY,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0098,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0099,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,1,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0100,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|1,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0101,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,2,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0102,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|2,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0103,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,1|2,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0104,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,0|1|2,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
paper17-open-groupoid-controls/1,AO-0105,PRODUCT,DIAGNOSTIC,TRIVIAL,,EMPTY,3,,EMPTY,EMPTY,,,,C4_BITSET_OPEN_QUANTALE,PASS
