schema_version,row_id,row_family,case_kind,L,L_prime,scale_c,r,t,u,claim_token,subject_value,oracle_value,inverse_value,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,DM-0086,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,0/1,2/1,2/1,,g(q(0/1mod3/1);6/1),g(q(0/1mod3/1);6/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0087,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,-1/1,,g(q(3/4mod3/1);-3/1),g(q(3/4mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0088,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,0/1,,g(q(3/4mod3/1);-3/2),g(q(3/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0089,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,1/1,,g(q(3/4mod3/1);0/1),g(q(3/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0090,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,-1/1,2/1,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0091,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,-1/1,,g(q(3/4mod3/1);-3/2),g(q(3/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0092,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,0/1,,g(q(3/4mod3/1);0/1),g(q(3/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0093,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,1/1,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0094,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,0/1,2/1,,g(q(3/4mod3/1);3/1),g(q(3/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0095,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,-1/1,,g(q(3/4mod3/1);0/1),g(q(3/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0096,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,0/1,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0097,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,1/1,,g(q(3/4mod3/1);3/1),g(q(3/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0098,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,1/1,2/1,,g(q(3/4mod3/1);9/2),g(q(3/4mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0099,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,-1/1,,g(q(3/4mod3/1);3/2),g(q(3/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0100,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,0/1,,g(q(3/4mod3/1);3/1),g(q(3/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0101,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,1/1,,g(q(3/4mod3/1);9/2),g(q(3/4mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0102,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/2,2/1,2/1,,g(q(3/4mod3/1);6/1),g(q(3/4mod3/1);6/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0103,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,-1/1,,g(q(3/2mod3/1);-3/1),g(q(3/2mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0104,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,0/1,,g(q(3/2mod3/1);-3/2),g(q(3/2mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0105,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,1/1,,g(q(3/2mod3/1);0/1),g(q(3/2mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0106,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,-1/1,2/1,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0107,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,-1/1,,g(q(3/2mod3/1);-3/2),g(q(3/2mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0108,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,0/1,,g(q(3/2mod3/1);0/1),g(q(3/2mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0109,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,1/1,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0110,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,0/1,2/1,,g(q(3/2mod3/1);3/1),g(q(3/2mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0111,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,-1/1,,g(q(3/2mod3/1);0/1),g(q(3/2mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0112,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,0/1,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0113,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,1/1,,g(q(3/2mod3/1);3/1),g(q(3/2mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0114,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,1/1,2/1,,g(q(3/2mod3/1);9/2),g(q(3/2mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0115,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,-1/1,,g(q(3/2mod3/1);3/2),g(q(3/2mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0116,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,0/1,,g(q(3/2mod3/1);3/1),g(q(3/2mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0117,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,1/1,,g(q(3/2mod3/1);9/2),g(q(3/2mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0118,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,1/1,2/1,2/1,,g(q(3/2mod3/1);6/1),g(q(3/2mod3/1);6/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0119,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,-1/1,,g(q(9/4mod3/1);-3/1),g(q(9/4mod3/1);-3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0120,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,0/1,,g(q(9/4mod3/1);-3/2),g(q(9/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0121,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,1/1,,g(q(9/4mod3/1);0/1),g(q(9/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0122,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,-1/1,2/1,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0123,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,-1/1,,g(q(9/4mod3/1);-3/2),g(q(9/4mod3/1);-3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0124,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,0/1,,g(q(9/4mod3/1);0/1),g(q(9/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0125,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,1/1,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0126,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,0/1,2/1,,g(q(9/4mod3/1);3/1),g(q(9/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0127,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,-1/1,,g(q(9/4mod3/1);0/1),g(q(9/4mod3/1);0/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0128,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,0/1,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0129,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,1/1,,g(q(9/4mod3/1);3/1),g(q(9/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0130,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,1/1,2/1,,g(q(9/4mod3/1);9/2),g(q(9/4mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0131,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,-1/1,,g(q(9/4mod3/1);3/2),g(q(9/4mod3/1);3/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0132,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,0/1,,g(q(9/4mod3/1);3/1),g(q(9/4mod3/1);3/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0133,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,1/1,,g(q(9/4mod3/1);9/2),g(q(9/4mod3/1);9/2),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0134,PRODUCT_COMPAT,DIAGNOSTIC,2/1,3/1,3/2,3/2,2/1,2/1,,g(q(9/4mod3/1);6/1),g(q(9/4mod3/1);6/1),,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0135,STRICT_MARKER,NEGATIVE,2/1,1/1,1/2,,,,STRICT_TIME_MARKER,strict_marker_preserved=true,REJECTED,,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,true,STRICT_MARKER_NONUNIT_SCALE,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0136,STRICT_MARKER,DIAGNOSTIC,2/1,2/1,1/1,,,,STRICT_TIME_MARKER,strict_marker_preserved=true,strict_marker_preserved=true,,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,,,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0137,STRICT_MARKER,NEGATIVE,2/1,3/1,3/2,,,,STRICT_TIME_MARKER,strict_marker_preserved=true,REJECTED,,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,true,STRICT_MARKER_NONUNIT_SCALE,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0138,STRICT_MARKER,NEGATIVE,2/1,4/1,2/1,,,,STRICT_TIME_MARKER,strict_marker_preserved=true,REJECTED,,ALGEBRAIC_RATIONAL_FIXTURE_ONLY,true,STRICT_MARKER_NONUNIT_SCALE,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0139,PLAIN_SCALE_PROMOTION,NEGATIVE,2/1,3/1,3/2,,,,PLAIN_TOPOS_RECOVERS_L,CLAIM[PLAIN_TOPOS_NUMERICAL_SCALE_PROMOTION],REJECTED,,NO_REAL_OR_LOCALIC_CERTIFICATION,true,PLAIN_TOPOS_NUMERICAL_SCALE_PROMOTION,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
paper17-open-groupoid-controls/1,DM-0140,PLAIN_SCALE_PROMOTION,NEGATIVE,2/1,3/1,3/2,,,,PLAIN_QUANTALE_RECOVERS_L,CLAIM[PLAIN_QUANTALE_NUMERICAL_SCALE_PROMOTION],REJECTED,,NO_REAL_OR_LOCALIC_CERTIFICATION,true,PLAIN_QUANTALE_NUMERICAL_SCALE_PROMOTION,INTEGER_CROSS_MULTIPLICATION_DILATION,PASS
