n,mu,euler,homology_supertrace,boundary_squared_zero,betti_matches_sphere_or_acyclic,simplex_count_including_empty,boundary_incidence_count,max_chain_dimension,chain_dimensions,boundary_ranks_gf2,betti_gf2
128,0,0,0,True,True,64,192,5,"{""-1"": 1, ""0"": 6, ""1"": 15, ""2"": 20, ""3"": 15, ""4"": 6, ""5"": 1}","{""0"": 1, ""1"": 5, ""2"": 10, ""3"": 10, ""4"": 5, ""5"": 1}",{}
129,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
130,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
131,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
132,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
133,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
134,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
135,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
136,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
137,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
138,-1,-1,-1,True,True,13,18,1,"{""-1"": 1, ""0"": 6, ""1"": 6}","{""0"": 1, ""1"": 5}","{""1"": 1}"
139,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
140,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
141,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
142,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
143,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
144,0,0,0,True,True,208,632,4,"{""-1"": 1, ""0"": 13, ""1"": 48, ""2"": 76, ""3"": 55, ""4"": 15}","{""0"": 1, ""1"": 12, ""2"": 36, ""3"": 40, ""4"": 15}",{}
145,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
146,1,1,1,True,True,3,2,0,"{""-1"": 1, ""0"": 2}","{""0"": 1}","{""0"": 1}"
147,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
148,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
149,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
150,0,0,0,True,True,44,88,2,"{""-1"": 1, ""0"": 10, ""1"": 21, ""2"": 12}","{""0"": 1, ""1"": 9, ""2"": 12}",{}
151,-1,-1,-1,True,True,1,0,-1,"{""-1"": 1}",{},"{""-1"": 1}"
152,0,0,0,True,True,20,36,2,"{""-1"": 1, ""0"": 6, ""1"": 9, ""2"": 4}","{""0"": 1, ""1"": 5, ""2"": 4}",{}
153,0,0,0,True,True,8,10,1,"{""-1"": 1, ""0"": 4, ""1"": 3}","{""0"": 1, ""1"": 3}",{}
