atom_cutoff,atom_count,point,sigma,t,q,sector,partial_norm,infinite_limit_status
127,31,critical_real,0.5,0.0,1,L_1_minus_s,6.109782514642597,DIVERGENT_INFINITE_LIMIT
127,31,critical_real,0.5,0.0,1,difference,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_real,0.5,0.0,1,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_real,0.5,0.0,2,L_s,1.3629639058321548,DIVERGENT_INFINITE_LIMIT
127,31,critical_real,0.5,0.0,2,L_1_minus_s,1.3629639058321548,DIVERGENT_INFINITE_LIMIT
127,31,critical_real,0.5,0.0,2,difference,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_real,0.5,0.0,2,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_real,0.5,0.0,4,L_s,0.8194604193727303,S_q
127,31,critical_real,0.5,0.0,4,L_1_minus_s,0.8194604193727303,S_q
127,31,critical_real,0.5,0.0,4,difference,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_real,0.5,0.0,4,relative_ratio_minus_identity,0.0,ZERO_AT_ISOLATED_CENTER
127,31,critical_imag,0.5,1.0,1,L_s,6.109782514642597,DIVERGENT_INFINITE_LIMIT
127,31,critical_imag,0.5,1.0,1,L_1_minus_s,6.109782514642597,DIVERGENT_INFINITE_LIMIT
127,31,critical_imag,0.5,1.0,1,difference,8.58814176160647,NO_COMMON_S_q_CERTIFICATE
127,31,critical_imag,0.5,1.0,1,relative_ratio_minus_identity,45.649108011509384,NOT_COMPACT_NO_OPEN_DOMAIN
127,31,critical_imag,0.5,1.0,2,L_s,1.3629639058321548,DIVERGENT_INFINITE_LIMIT
127,31,critical_imag,0.5,1.0,2,L_1_minus_s,1.3629639058321548,DIVERGENT_INFINITE_LIMIT
127,31,critical_imag,0.5,1.0,2,difference,2.061082351882274,NO_COMMON_S_q_CERTIFICATE
