n,final_residue,accepts,independent_prime_audit,cycle_length_if_accepted,residue_path_sha256
147,0,0,0,0,9b3133b7198c9afe1c790257e440c32e644c610144955d9f8dec62cdec254425
148,0,0,0,0,a1f7d46366704b9bb453e24b53b14e65520e275e1fe7b7f03b56b904d5d24c5b
149,148,1,1,148,203981e827e827a37f23cc61b2532297aed23d0ce5c34f4821af337549b3b8d9
150,0,0,0,0,3f1cc801780d86570a74f902a586ad6c7f6402e02f7e3a3ce8eac1def069386b
151,150,1,1,150,b3eadde7e8e82187feea8d47d389cd4cf7daadfcd70c5471ecc2793475816b24
152,0,0,0,0,44bed4d21e3cad145471685d78525afa640931ebad61a0643bb6e852377e4e31
153,0,0,0,0,23c481ee1621b81e063f8caaf7e12334d125d974f672502eef5bf6b4f60fb1a3
154,0,0,0,0,c8d23f3949934170d01247df935948ac72a44737301107d3112fb92a4a698b73
155,0,0,0,0,c0d4475654def42d3d0992c9f35a3f8d7050851bb216fef4199e53582862fb2c
156,0,0,0,0,1e332c128f34d1d47a786bd26bef4727cd86343fd5dbc53eb20d69fbc83944ee
157,156,1,1,156,619df9322a9c4d36d3a5d0b84885a1c4884f0d0a96d84f1fbf23b86857a32c1c
158,0,0,0,0,503eae8a63c46411de7ee2eee495f8f96755101f9aa1183eb2b7ef6b58260130
159,0,0,0,0,b60433bb5265e947abdf349b93ee4f9381dda34e6c3e25204a01c26c390a766d
160,0,0,0,0,b43566e83d8042260ed89a0c5e78c0723177c8e24ad63f99815ebe22372d962d
161,0,0,0,0,f342464bcc21ce046ede13376477d7ebb56dfc92bf10ae9ac7eaa920221cff29
162,0,0,0,0,dafa4c6f9b6eb3939698370e05b8e51b3f4368009dec4c2837ee2b32ae90ae29
163,162,1,1,162,f5c4ad35725f92a97e7aaa423e94a066df095d012613561f89d015a570d2ccb8
164,0,0,0,0,d4ae9056dce2a2a4f4962da5ddc906020d6bb07adde8c1523db03595edb2a1de
165,0,0,0,0,d5089067187da78b3df0ad613dcd886798db6e5c868f49307e77dd157493271f
166,0,0,0,0,3489346e3de4874ad58be0a209347774503a6871022565ed199844e69e3069a6
167,166,1,1,166,544fbcd8678d1ea0866543be856cc2b7ee003d0888a7ac43877429ec1311f5ae
168,0,0,0,0,ab4d0585c2cc537129d50625a8f1df5b22cb7d0813c3a671daa5268b0abbfc52
169,0,0,0,0,4aab40f6e1d87df597635e3d374d40514a859e12045a3c7017e97118217b579a
170,0,0,0,0,816d7bc1010fc7800b615af9de8503b62ae91e1fe992dd3a11cfba13ece2bc4e
171,0,0,0,0,938e152ed19eec4c848364bc126f9dfcb301648b557124d70e9cd5f847ff9b96
172,0,0,0,0,43f75861b8d6fd1deace6affc32c86adebca95d95ae55b3618d8245dd8b1d193
173,172,1,1,172,9b2c333ad85ff4e4d45968f8a167fc923c3c3afcb225bb3b43835d0cf1e4596d
174,0,0,0,0,fdfd8e8d578e33389a524003651e594c43be8e3d7923f78f4bb59c90a750f9a1
175,0,0,0,0,5a29b166e098ef595af0de0b01e7be156ddb33371cf5cc444f0570c0675c5c40
176,0,0,0,0,b7b650fb9fbc950cae1613e4518e13131cd9bded7e580327bd48f34715cf40d8
177,0,0,0,0,f74c098968cd18d26d4bca09e3d7d0175d08780d96a737aecc7e0cee503bbc10
178,0,0,0,0,02161708443beced930496956d45ab1d78f00e1ed82e52a861ef8df612a7bcca
179,178,1,1,178,a76b04a69ef7f22364b1c8d2fd84b6ecb90c7525519de02933012c296507d68e
180,0,0,0,0,e04aaf55c443f48c7b53b2a12ef1d470366ec30e4872d5fa2b9160269d34ce61
181,180,1,1,180,d54262d0e11ef58e56c77265e94cbf0a663673559a819f11b87298a7ba30e040
182,0,0,0,0,f8663de5c3a2eda3554a93a71a79d2d7fbfd01eb8f83340612285f52d7c973d5
183,0,0,0,0,2468691e5d45eaa7be14723660f590bf0340d764bc2ace86e7e1e9686c60e593
184,0,0,0,0,3b27c8411dbfe17231569af0e1ffa529fecbfcc0a1f1263b53bace04919b1132
185,0,0,0,0,6809a10418d190e07f815f2ffc53d3945464525dc53e2b9264f265e989a9be36
186,0,0,0,0,8536e140be9effbf948c13db7cc879a3aa2cf10ec4a0d7b39556fc2e13674f77
187,0,0,0,0,8f421110652bc9c65107e297489eaf015af863a65d78bf1d165a5fb737306ef5
188,0,0,0,0,f7c80d9b9afc83baa7a30b10f65f4537e0d1f172033fa9498954b15ffb99220a
189,0,0,0,0,74f44f77cd8b1ea9c894ecc400a05a11c12efc9a6b0b62b240350ab94d970da6
190,0,0,0,0,ea5ea192cce3367e738941daf8ce9430eec5b195365551d53230247044952fe9
191,190,1,1,190,7e58c2d356366c840be93cf93d206862605388e23128259d24e6b5c954fd536e
192,0,0,0,0,b858e542e7db3ea731e2bfa9e476aa68d62a42bf5380c6111ed4a286382651a6
193,192,1,1,192,f5acba0747918175660a19175529e59138764de4d888f5b250cd01469959f1b0
194,0,0,0,0,a7edbc31691f766e82a45f62dbd4c806176b274100ed064c5e0e5f1f097ee9e9
195,0,0,0,0,5918b81ff200a9f021fa038d73d067841038d54b20efda20b347dba9718d8811
196,0,0,0,0,8e91767f02a93762a6e3a85ca228158fbffc8401351a43e2cb78c7c2128a1b75
197,196,1,1,196,1ac3984a7af6efa05a0c9c472c0eb45d4ad0ca185f6b7c16071eed7e90f8f78e
198,0,0,0,0,4a88af2759c676cbfeb1b4c20f3d04fc10cf330ab3f156c0e5d0322c74ed8ad5
199,198,1,1,198,354709696fd5fee9d282ebc449d011c6b1d1124ef684bca46abf5d3b1662ef2c
200,0,0,0,0,95f456dfc7c9e7e3938fcae09617d8e3939caf8ce18be839c1db5a6883e3112b
201,0,0,0,0,4deefbeb77787d3ba334214d67b4161b0f40f9d434ef65060b3dd1263cf3473b
202,0,0,0,0,fc8e934c1df84ba5a5468f3ecdf3d6610dacad0d3740923357731e2c2b59d1ca
203,0,0,0,0,5ff1f072df57d7dcbd08ff65494f04393eafa66e4ecd9e70a2afd7bee9fb7b8f
204,0,0,0,0,c3721459abd7c2d4f2afa806f487a9a8e6df79de6b0bac588c4cfab1798f56d5
205,0,0,0,0,c61ded8bea6ca72ec3caffa95c0ee6050e442e92cbcc69dbdc5b563c48a4d07e
206,0,0,0,0,56a790a35767a06774a0ad1b56881bea1662045282937d3f4b1df8dc1d02ab69
207,0,0,0,0,4e3b0623d1872415ce96d8511a836617c9a00ae04919d1f6d2a697545abc98de
208,0,0,0,0,7f9fc65677ffb76311e85dc6b995717c8eaae28d5e715804fe07f8911b463091
209,0,0,0,0,e834bf909d4abe14fd590dfe08f4e5c20981cfd306ffb793d8c0c6ef54d241f8
210,0,0,0,0,c5fd02f073a4ff9ea727eab6d6fe72d7c333c311e9cf3740be9375af1f063124
211,210,1,1,210,a620eb90484296f2af7e35de6683fc2325bfeeb1b58fa04cadce0ac94cf5e5ad
212,0,0,0,0,2e8b9c61dd850aaf0cdd9b3771164facb41425dcc0845876f4b80fdb6361f3d3
213,0,0,0,0,e3a90dc217294d195537464310023ebc427e65261d369d8013432f659000962f
214,0,0,0,0,cb4ed9cb1276679ecf2dc3ee3dabe19217e3957aa55292d4c44130405bc48420
215,0,0,0,0,c91a338ef0cff056007cf9f659cb03d54bc302ef1ae883d4be7b28b94caa7325
216,0,0,0,0,7f1faf0fd1426ee435d3a1ccbea020161ca71d6b9e55d8a8cf87591bc3fc8656
217,0,0,0,0,956db8001725083d82b4584d94c5459c72b1eefbc9a13a58dc388bae97a65a28
218,0,0,0,0,83d9088ef42afd7c5bcd9811db1cd6a5de10be3c4402da95c75560bddba053e7
219,0,0,0,0,1b4419b2f2307057548455368b27fb46c328dcf331e7021dfd4190cd1db72697
220,0,0,0,0,c333a94f59068c9c72bb6296c1a028ec6fcf253f600f0475318c248436742a8f
221,0,0,0,0,8cd130efad032da9d0cd3f42395d2556ef62e6e6e70a620702ef9db5412c8133
222,0,0,0,0,7266ca26154a9e6986d810229b5e3ac8cd299921c1510d10bb39ca4d11e16362
223,222,1,1,222,12342db8ed6187a0c5fe16966312e7f88eb175ebd39e3313297e042998f11d81
224,0,0,0,0,54e58cf1fbdf6ba95800f537b10dd1477bc86663998897087dbf6263ced8007d
225,0,0,0,0,dea11db1bfacda649ebd98cb11940e47bc501cd25db808a0b99552bbb0d54ec2
226,0,0,0,0,aee75786c690ae2c6aa162e03fdc2283819e71e1cc2fe39acae0a404387d32a0
227,226,1,1,226,5e1b62ba5fc1c7f8e3a65e06200d354c1febfaab1d58ff70fbde77aa7a7f07c5
228,0,0,0,0,03e89103c597fddd4958dc30ee20930d1a51a9636f454cfc116863d1716c23dc
229,228,1,1,228,e3b8636ebc21ff86382dd912bd159663ac3eceb9ef41fcdc0b35a94ca8a690c7
230,0,0,0,0,5e117b526bdb803bdbfea5e257ba0488a4eb1c4fca94191271f88ac62af6adfe
231,0,0,0,0,04ab95c75d3fdfcea7a55044537cef929628c22359da500dcadd098e3e6b470f
232,0,0,0,0,69fe732f3c7c55ec798000830642a8bdb9ff6c2d2084010a9f7e32ecbe43e6d5
233,232,1,1,232,2ad77ad75748afbc2dddf381f6e375ee285888c42bc87a48a813831f9025875b
234,0,0,0,0,6e6fcc8353f6ab37eb66126411419c8c837ff436b8bcebdfe09b909dbf3cdf10
235,0,0,0,0,8c134073a97d16cbddc308f76a069f98be7d8e60741b3f6fcb6be617b078c366
236,0,0,0,0,8ff9a5c989a85a12f9a41fd18bd2770abf4c95cbd52ac64c5e786f89c2f64aba
237,0,0,0,0,02dabafd8a9073ca20c631f731ffb2cf8ade8f80518b6094750b5503955e9c5a
238,0,0,0,0,91c6cc0f30060585d62e54e46ad5a421fcd2b5c02ac0baab43726886cb81aef7
239,238,1,1,238,52a6c94d04cdfbba39a693fb2564377ae9a7ca5cd943390d98383d870347d9e8
240,0,0,0,0,9521fb84a9dc6c0067425122832e5f6bf301ca1b861e1b9bf4e23c7b7fe3c56c
241,240,1,1,240,c2aba318ace64d2171fd0ebefada3df3d3734d0ac085b9c1269f3b13e8c5ff05
242,0,0,0,0,cf9ad77a667a425ce6fd252f6605ae0f2f47675e2f39ddb904d86e40b1077ff5
243,0,0,0,0,9149c972e3693c4539bddc256371d6d4aa504c9efcdeb09172bc8fb972e2c698
244,0,0,0,0,ef3b59f27994b87a6a30a5d1803de720c775ac9e0c7449ca778b772320681796
245,0,0,0,0,5e43df09ddc729bae32600b5eaacb88d675c07bc010a4cb45855466eab55aae0
246,0,0,0,0,98f193c76b53a769d30a082b9cfe396a9884ca0b7dd13b385e5f5e6b4b45377b
247,0,0,0,0,dd4837a3977ab06a3e6b465ee8983d1518957c8b500eb9da131228249a7ea7a7
248,0,0,0,0,ca14e0cf6e4381b2758b4e742a6907c463fbb2dab938367f483ce17e0a877fdf
249,0,0,0,0,89b9693cfb741eb6abdce4a6c0e57a72661f989c5d71a8e8c71730acc09a5d73
250,0,0,0,0,6fab44d16fcbe1475242323cbef490abedf5072a8d483d49c1bd1aafec56354e
251,250,1,1,250,e77e36eeaa61630dca4e3475087beb46a4ec42014c7fe4ad122dda32c6084e89
252,0,0,0,0,a6f63a2f08ac569bb8dc96213d04566588e5b113689a0a9da24ceb881e2d6cbc
253,0,0,0,0,fafbffc0cafbdce05889139ad12ecfba36b113ae246ef54bb206eb666a61998a
254,0,0,0,0,262b3e41de471c5447762a9b0c2ad7f6412fce4f2f6a9e13862d596427d22ff8
255,0,0,0,0,9210251f3afee74e83ddebc19f1ca9b7217177d73727f8766fb6aff9b1b11908
256,0,0,0,0,b1a3b9e62ce9e03a7f3b1a8d2994e6ae5f4f0f710e42694d126a91ef0dc5581c
257,256,1,1,256,fbf7f6996e0cde59752667abc106fd4c3aab20cf035147b6ed17aaebb32207dc
258,0,0,0,0,89a864dc562b5e742a18185bdf3f50ea20cabf0019a70fe1fa4ffea1274779b3
259,0,0,0,0,f20bea788714df0d759d679de6e2e066ebbe44d50aa0c69287c5f0b10ad53ac3
260,0,0,0,0,c452f61eaecc805065dec4636481b9ab50fa1c58beb7d20a21c4cc6327c739b1
261,0,0,0,0,9168503498625a1f790b39edf101d44eff037c422e266c4cea30e93277fd32d2
262,0,0,0,0,3f5cd4560ad159473f6ac8896931436a6425c547a4e0b19542484073cb8b7a22
