vertex_count,mask,first,second,strict_external_witness_exists,minimal_repair
4,4020,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4021,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4028,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4029,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4035,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4043,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4067,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4075,0>0,1>2;2>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4266,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4267,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4270,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4271,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4330,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4331,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4334,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4335,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4454,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4455,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4462,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4463,0>2;2>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4522,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4523,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4526,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
4,4527,0>3;3>0,1>1,False,allow_SCC_paths_to_traverse_cycle_vertices
