sample,matrix,trace,base_c,power,power_c,two_log_power_c,formula_prediction,formula_residual,normalized_height,translation_length,limit_error
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,3,297,11.38746427760539923649535857746541282752835705481133106084530142008611,11.38746427760539923649535857746541282752835705481133106084530142008611,1.686751670916883715895771848203203041233593821178961208012442084017303e-80,3.795821425868466412165119525821804275842785684937110353615100473362038,4.584863339122355375601574622696030863243736480031420495210032889662696,0.7890419132538889634364550968742265874009507950943101415949324163006580
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,4,2940,15.97232972066545459008234859990285187919652327995100011761496508794724,15.97232972066545459008234859990285187919652327995100011761496508794724,0.0,3.993082430166363647520587149975712969799130819987750029403741271986810,4.584863339122355375601574622696030863243736480031420495210032889662696,0.5917809089559917280809874727203178934446056600436704658062916176758856
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,5,29103,20.55719308125878646018075445960315315022499965691787993783253093121270,20.55719308125878646018075445960315315022499965691787993783253093121270,0.0,4.111438616251757292036150891920630630044999931383575987566506186242541,4.584863339122355375601574622696030863243736480031420495210032889662696,0.4734247228705980835654237307754002331987365486478445076435267034201551
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,6,288090,25.14205642060025624876478473024206467034838983738643972486442595954161,25.14205642060025624876478473024206467034838983738643972486442595954161,3.373503341833767431791543696406406082467187642357922416024884168034606e-80,4.190342736766709374794130788373677445058064972897739954144070993256935,4.584863339122355375601574622696030863243736480031420495210032889662696,0.3945206023556460008074438343223534181856715071336805410659618964057602
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,7,2851797,29.72691975972484771857691546492706638894370705834310365046367070762057,29.72691975972484771857691546492706638894370705834310365046367070762057,0.0,4.246702822817835388368130780703866626991958151191871950066238672517224,4.584863339122355375601574622696030863243736480031420495210032889662696,0.3381605163045199872334438419921642362517783288395485451437942171454716
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,8,28229880,34.31178309884722591384265867332374275451348579492506753728663304753064,34.31178309884722591384265867332374275451348579492506753728663304753064,0.0,4.288972887355903239230332334165467844314185724365633442160829130941330,4.584863339122355375601574622696030863243736480031420495210032889662696,0.2958904517664521363712422885305630189295507556657870530492037587213661
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,9,279447003,38.89664643796958152232219984547877923679344059578255291254906033516125,38.89664643796958152232219984547877923679344059578255291254906033516125,0.0,4.321849604218842391369133316164308804088160066198061434727673370573472,4.584863339122355375601574622696030863243736480031420495210032889662696,0.2630137349035129842324413065317220591555764138333590604823595190892233
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,10,2766240150,43.48150977709193690030032772958822794092579465412593478857674895343969,43.48150977709193690030032772958822794092579465412593478857674895343969,0.0,4.348150977709193690030032772958822794092579465412593478857674895343969,4.584863339122355375601574622696030863243736480031420495210032889662696,0.2367123614131616855715418497372080691511570146188270163523579943187272
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,11,27382954497,48.06637311621429227592615542134021528860182753881955448406326896734463,48.06637311621429227592615542134021528860182753881955448406326896734463,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,4.369670283292208388720559583758201389872893412619959498551206269758603,4.584863339122355375601574622696030863243736480031420495210032889662696,0.2151930558301469868810150389378294733708430674114609966588266199040928
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,12,271063304820,52.65123645533664765152797755010656378674840361009901056421017298172135,52.65123645533664765152797755010656378674840361009901056421017298172135,0.0,4.387603037944720637627331462508880315562366967508250880350847748476779,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1972603011776347379742431601871505476813695125231696148591851411859163
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,13,2683250093703,57.23609979445900302712955469863776638603827218115294638171672557237186,57.23609979445900302712955469863776638603827218115294638171672557237186,0.0,4.402776907266077155933042669125982029695251706242534337055132736336297,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1820864318562782196685319535700488335484847737888861581549001533263987
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,14,26561437632210,61.82096313358135840273112934711030974690011400561392002956232369453475,61.82096313358135840273112934711030974690011400561392002956232369453475,6.747006683667534863583087392812812164934375284715844832049768336069212e-80,4.415783080970097028766509239079307839064293857543851430683023121038197,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1690802581522583468350653836167230241794426224875690645270097686244992
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,15,262931126228397,66.40582647270371377833270397006939364067204214872064539668294552158053,66.40582647270371377833270397006939364067204214872064539668294552158053,0.0,4.427055098180247585222180264671292909378136143248043026445529701438702,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1578082409421077903793943580247379538656003367833774687645031882239937
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,16,2602749824651760,70.99068981182606915393427859276810899806045626570239035429724726678007,70.99068981182606915393427859276810899806045626570239035429724726678007,0.0,4.436918113239129322120892412048006812378778516606399397143577954173755,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1479452258832260534806822106480240508649579634250210980664549354889411
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,17,25764567120289203,75.57555315094842452953585321546416725695440950379030329323251480839481,75.57555315094842452953585321546416725695440950379030329323251480839481,0.0,4.445620773585201442913873718556715720997318206105311958425442047552636,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1392425655371539326877009041393151422464182739261085367845908421100598
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,18,255042921378240270,80.16041649007077990513742783816019839977471063640765881111127655383181,80.16041649007077990513742783816019839977471063640765881111127655383181,0.0,4.453356471670598883618745991008899911098595035355981045061737586323989,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1315068674517564919828286316871309521451414446754394501482953033387062
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,19,2524664646662113497,84.74527982919313528073900246085622926587156631180421908413150265761390,84.74527982919313528073900246085622926587156631180421908413150265761390,0.0,4.460277885747007120038894866360854171887977174305485214954289613558626,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1245854533753482555626797563351766913557593057259352802557432761040697
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,20,24991603545242894700,89.33014316831549065634057708355226012914441928503340278207174167520242,89.33014316831549065634057708355226012914441928503340278207174167520242,0.0,4.466507158415774532817028854177613006457220964251670139103587083760121,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1183561807065808427845457685184178567865155157797503561064458059025747
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,21,247391370805766833503,93.91500650743784603194215170624829099238845290308047736703178188747693,93.91500650743784603194215170624829099238845290308047736703178188747693,0.0,4.472143167020849811044864366964204332970878709670498922239608661308425,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1127201721015055645567102557318265302728577703609215729704242283542704
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,22,2448922104512425440330,98.49986984656020140754372632894432185563219241544823545501232626517185,98.49986984656020140754372632894432185563219241544823545501232626517185,0.0,4.477266811207281882161078469497469175256008746156737975227833012053266,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1075965279150734934404961531985616879877277338746825199821998776094299
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,23,24241829674318487569797,103.0847331856825567831453009516403527188759289264250859519824776593802,103.0847331856825567831453009516403527188759289264250859519824776593802,1.349401336733506972716617478562562432986875056943168966409953667213842e-79,4.481944921116632903615013084853928379081562127235873302260107724320879,4.584863339122355375601574622696030863243736480031420495210032889662696,0.1029184180057224719865615378421024841621743527955471929499251653418164
gauss_cyclic_witness,"[[2,5],[3,8]]",10,3,24,239969374638672450257640,107.6695965248049121587468755743363835821196654067723090269136125064874,107.6695965248049121587468755743363835821196654067723090269136125064874,1.349401336733506972716617478562562432986875056943168966409953667213842e-79,4.486233188533538006614453148930682649254986058615512876121400521103643,4.584863339122355375601574622696030863243736480031420495210032889662696,0.09863015058881736898712147376534821398875042141590761908863236855905267
positive_family_3_5,"[[1,3],[5,16]]",17,5,1,5,3.218875824868200749201518666452375279051202708537035443825295782948358,3.218875824868200749201518666452375279051202708537035443825295782948358,0.0,3.218875824868200749201518666452375279051202708537035443825295782948358,5.659470075048780550732202172232747625847264023165468872887863761756115,2.440594250180579801530683505780372346796061314628433429062567978807757
positive_family_3_5,"[[1,3],[5,16]]",17,5,2,85,8.885302512980632909700587902198628350227608733708525018419771258712943,8.885302512980632909700587902198628350227608733708525018419771258712943,0.0,4.442651256490316454850293951099314175113804366854262509209885629356472,5.659470075048780550732202172232747625847264023165468872887863761756115,1.216818818558464095881908221133433450733459656311206363677978132399643
positive_family_3_5,"[[1,3],[5,16]]",17,5,3,1440,14.54479678514009260895482082872424377839616628343058579197087321243227,14.54479678514009260895482082872424377839616628343058579197087321243227,0.0,4.848265595046697536318273609574747926132055427810195263990291070810757,5.659470075048780550732202172232747625847264023165468872887863761756115,0.8112044800020830144139285626579996997152085953552736088975726909453576
positive_family_3_5,"[[1,3],[5,16]]",17,5,4,24395,20.20426694449987512764482013515980298625459913167085066257707737910806,20.20426694449987512764482013515980298625459913167085066257707737910806,3.373503341833767431791543696406406082467187642357922416024884168034606e-80,5.051066736124968781911205033789950746563649782917712665644269344777015,5.659470075048780550732202172232747625847264023165468872887863761756115,0.6084033389238117688209971384427968792836142402477562072435944169790997
positive_family_3_5,"[[1,3],[5,16]]",17,5,5,413275,25.86373701984242579609955568616770412854483276206964033458378764912628,25.86373701984242579609955568616770412854483276206964033458378764912628,0.0,5.172747403968485159219911137233540825708966552413928066916757529825257,5.659470075048780550732202172232747625847264023165468872887863761756115,0.4867226710802953915122910349992068001382974707515408059711062319308578
