control,n,sigma,t,empirical_re,empirical_im,completed_gamma_target_re,completed_gamma_target_im,native_dimension,native_radial_target_re,native_radial_target_im,relative_error,native_radial_relative_error
fair_F2,511,2.0,6.0,-0.007026385309792304,-0.006470935459601861,-0.008992170836832014,-0.008559532122861287,1,-0.008992170836832014,-0.008559532122861287,0.23103228772411577,0.23103228772411577
fair_F2,511,2.0,12.0,-0.003321973617528741,0.007579696374471592,3.5106855416458105e-05,-0.0001537630992552455,1,3.5106855416458105e-05,-0.0001537630992552455,53.45348678419311,53.45348678419311
fair_F2,511,3.0,0.0,0.1591549430918898,0.0,0.15915494309189507,0.0,1,0.15915494309189512,0.0,3.313475073108206e-14,3.348353758088291e-14
fair_F2,511,3.0,2.0,0.05709926708684118,-0.08762668239480961,0.05712625805579406,-0.08753513972545902,1,0.05712625805579406,-0.08753513972545902,0.0009130579496281061,0.0009130579496281061
fair_F2,511,3.0,6.0,-0.0017688285841638237,-0.012183972940122089,-0.0018127258698713616,-0.012164726908894578,1,-0.0018127258698713616,-0.012164726908894578,0.003897131783879701,0.003897131783879701
fair_F2,511,3.0,12.0,6.975624661144032e-05,0.0003493792465879544,0.00017760307763586375,-0.000127655518873486,1,0.00017760307763586375,-0.000127655518873486,2.2360641586867205,2.2360641586867205
biased_F2_p_0.3_centered_variance_normalized,511,0.25,0.0,4.642525462252017,0.0,6.529478786631148,0.0,1,6.529478786631151,0.0,0.28898988511036955,0.28898988511036994
biased_F2_p_0.3_centered_variance_normalized,511,0.25,2.0,-1.0053785768057277,-0.6885459407728541,-0.42350573011318954,-0.16788114598323828,1,-0.42350573011318954,-0.16788114598323828,1.7139355982058544,1.7139355982058544
biased_F2_p_0.3_centered_variance_normalized,511,0.25,6.0,-0.5467340354259366,-0.9954991599472287,-0.010709747565107109,0.00725523954933623,1,-0.010709747565107109,0.00725523954933623,87.89737078173629,87.89737078173629
biased_F2_p_0.3_centered_variance_normalized,511,0.25,12.0,-0.7716252697319161,0.6356304936425078,-8.140533749949723e-05,-3.732818018299887e-05,1,-8.140533749949723e-05,-3.732818018299887e-05,11162.626072567324,11162.626072567324
biased_F2_p_0.3_centered_variance_normalized,511,0.5,0.0,2.5266530004366534,0.0,2.7232882163306718,0.0,1,2.7232882163306718,0.0,0.07220506985447263,0.07220506985447263
biased_F2_p_0.3_centered_variance_normalized,511,0.5,2.0,-0.5041296686092428,-0.3838116498678163,-0.3225735154575873,-0.22819168658441463,1,-0.3225735154575873,-0.22819168658441463,0.6051826673177911,0.6051826673177911
biased_F2_p_0.3_centered_variance_normalized,511,0.5,6.0,-0.21921659740563665,-0.3028990463037166,-0.011916643170136196,0.004842505907298266,1,-0.011916643170136196,0.004842505907298266,28.846352073607687,28.846352073607687
biased_F2_p_0.3_centered_variance_normalized,511,0.5,12.0,-0.24763536071721795,0.25661507395358385,-7.830052174713392e-05,-5.742749343687102e-05,1,-7.830052174713392e-05,-5.742749343687102e-05,3672.4340532998144,3672.4340532998144
biased_F2_p_0.3_centered_variance_normalized,511,1.0,0.0,0.9999999999999999,0.0,0.9999999999999986,0.0,1,0.9999999999999987,0.0,1.3322676295501898e-15,1.2212453270876738e-15
biased_F2_p_0.3_centered_variance_normalized,511,1.0,2.0,-0.16688476555173576,-0.2667333635752624,-0.1482128284599034,-0.25357384686510887,1,-0.1482128284599034,-0.25357384686510887,0.07777431990921274,0.07777431990921274
biased_F2_p_0.3_centered_variance_normalized,511,1.0,6.0,-0.04342545005451676,-0.02505878447609985,-0.012702407914335976,-0.00021878589380265343,1,-0.012702407914335988,-0.00021878589380265365,3.1098637788376164,3.109863778837613
biased_F2_p_0.3_centered_variance_normalized,511,1.0,12.0,-0.02990379108168999,0.043782876740448305,-5.868335392333621e-05,-9.788303348623909e-05,1,-5.868335392333621e-05,-9.788303348623909e-05,464.99660740657185,464.99660740657185
biased_F2_p_0.3_centered_variance_normalized,511,1.5,0.0,0.5199180224842921,0.0,0.5193036689589141,0.0,1,0.5193036689589142,0.0,0.0011830332849556303,0.001183033284955416
biased_F2_p_0.3_centered_variance_normalized,511,1.5,2.0,-0.039418237291190136,-0.2166464438696807,-0.03734735441642855,-0.2155221141113438,1,-0.037347354416428565,-0.21552211411134387,0.01077294807618684,0.010772948076186662
biased_F2_p_0.3_centered_variance_normalized,511,1.5,6.0,-0.016008302499343777,-0.005725162482039563,-0.011559917380324742,-0.004879510315897615,1,-0.011559917380324742,-0.004879510315897615,0.36087108661380446,0.36087108661380446
biased_F2_p_0.3_centered_variance_normalized,511,1.5,12.0,-0.005389092240325256,0.00794695514175972,-2.0388338117314626e-05,-0.00013257629053293161,1,-2.0388338117314626e-05,-0.00013257629053293161,72.31982559420734,72.31982559420734
biased_F2_p_0.3_centered_variance_normalized,511,2.0,0.0,0.31842600857924785,0.0,0.3183098861837907,0.0,1,0.31830988618379075,0.0,0.000364809264485473,0.0003648092644852985
biased_F2_p_0.3_centered_variance_normalized,511,2.0,2.0,0.020346261610322984,-0.1649149983070605,0.020603838677028995,-0.16473550821746696,1,0.020603838677029,-0.16473550821746702,0.0018910298518487096,0.001891029851848552
biased_F2_p_0.3_centered_variance_normalized,511,2.0,6.0,-0.009647503245492337,-0.008277413913098474,-0.008992170836832014,-0.008559532122861287,1,-0.008992170836832014,-0.008559532122861287,0.0574704495952547,0.0574704495952547
