target_index,target,predicted,residual,absolute_error,percent_error
77,195.2658,1903.966968708134,1708.701168708134,1708.701168708134,875.0642297361514
78,196.8764,1907.0128474995763,1710.1364474995762,1710.1364474995762,868.6345582810212
79,198.0153,1913.835386189505,1715.820086189505,1715.820086189505,866.5088436042593
80,201.2647,1917.9426745806018,1716.6779745806018,1716.6779745806018,852.9453871347541
81,202.4935,1921.3077503640181,1718.814250364018,1718.814250364018,848.8244068891189
82,204.1896,1924.2513638713062,1720.0617638713063,1720.0617638713063,842.3846091433189
83,205.3946,1932.204073759841,1726.809473759841,1726.809473759841,840.7277863000493
84,207.9062,1934.5233073295092,1726.617107329509,1726.617107329509,830.4788925628524
85,209.5765,1937.7589856477662,1728.182485647766,1728.182485647766,824.6069982310833
86,211.3289,1941.1375627684697,1729.8086627684697,1729.8086627684697,818.5386204955734
87,213.3479,1941.4024563297246,1728.0545563297246,1728.0545563297246,809.9702674972308
88,214.547,1946.642864385829,1732.095864385829,1732.095864385829,807.3270026548164
89,216.1695,1949.796879621456,1733.627379621456,1733.627379621456,801.97594000146
90,219.0675,1950.3714492605034,1731.3039492605035,1731.3039492605035,790.3061610053995
91,220.7149,1953.5625146060866,1732.8476146060866,1732.8476146060866,785.1067665146696
92,221.3952,1955.3059039444367,1733.9107039444368,1733.9107039444368,783.1744789157294
93,224.007,1958.4993769966095,1734.4923769966094,1734.4923769966094,774.3027570551856
94,224.9833,1960.513023076385,1735.529723076385,1735.529723076385,771.4037988936889
95,227.4214,1964.5991281388262,1737.1777281388263,1737.1777281388263,763.8585146951107
96,229.3374,1967.124742649577,1737.787342649577,1737.787342649577,757.7426719974924
97,231.2882,1967.346622737269,1736.058422737269,1736.058422737269,750.603974927069
98,231.9872,1971.2058784142137,1739.2186784142136,1739.2186784142136,749.7045864660695
99,233.6934,1972.100875893612,1738.4074758936122,1738.4074758936122,743.8838563235471
100,236.5242,1973.5400725582226,1737.0158725582226,1737.0158725582226,734.3924522557195
