prime_cutoff,prime_count,sigma,repetition_cutoff,tau_Log_D_partial,log_Z_partial,tau_Log_D,log_Z,nonnegative_log_Z_tail,D,Z,compiled_D,compiled_Z,sign_residual,reciprocal_residual,D_product_residual,Z_product_residual,domain
5,3,3,1,-0.17003703703703707,0.17003703703703707,-0.17930389230463395,0.17930389230463395,0.0092668552675968796,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
5,3,3,2,-0.17856740809327851,0.17856740809327851,-0.17930389230463395,0.17930389230463395,0.00073648421135544262,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
5,3,3,4,-0.17929706211377605,0.17929706211377605,-0.17930389230463395,0.17930389230463395,6.8301908578982662e-06,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
5,3,3,8,-0.17930389137169014,0.17930389137169014,-0.17930389230463395,0.17930389230463395,9.3294380554276302e-10,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
5,3,3,16,-0.17930389230463392,0.17930389230463392,-0.17930389230463395,0.17930389230463395,2.7755575615628914e-17,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
5,3,3,32,-0.17930389230463395,0.17930389230463395,-0.17930389230463395,0.17930389230463395,0,0.83585185185185185,1.1963842609003901,0.83585185185185196,1.1963842609003896,0,0,1.1102230246251565e-16,4.4408920985006262e-16,finite-prime positive-real control
29,10,1.25,1,-1.0746223142143769,1.0746223142143769,-1.2555836351093819,1.2555836351093819,0.18096132089500494,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,1.25,2,-1.2109980533400964,1.2109980533400964,-1.2555836351093819,1.2555836351093819,0.044585581769285509,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,1.25,4,-1.2512319876579607,1.2512319876579607,-1.2555836351093819,1.2555836351093819,0.0043516474514211367,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,1.25,8,-1.2555093666521624,1.2555093666521624,-1.2555836351093819,1.2555836351093819,7.426845721947295e-05,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,1.25,16,-1.2555835959329511,1.2555835959329511,-1.2555836351093819,1.2555836351093819,3.9176430766119097e-08,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,1.25,32,-1.2555836351093623,1.2555836351093623,-1.2555836351093819,1.2555836351093819,1.9539925233402755e-14,0.28490951649383334,3.5098862695295203,0.28490951649383339,3.509886269529519,0,0,5.5511151231257827e-17,1.3322676295501878e-15,finite-prime positive-real control
29,10,2,1,-0.44501060747493271,0.44501060747493271,-0.4904619793125029,0.4904619793125029,0.045451371837570198,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,2,2,-0.48350566746769358,0.48350566746769358,-0.4904619793125029,0.4904619793125029,0.0069563118448093264,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,2,4,-0.49021104705678847,0.49021104705678847,-0.4904619793125029,0.4904619793125029,0.00025093225571443112,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,2,8,-0.49046143163615757,0.49046143163615757,-0.4904619793125029,0.4904619793125029,5.4767634533048337e-07,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,2,16,-0.49046197930801938,0.49046197930801938,-0.4904619793125029,0.4904619793125029,4.4835246626462322e-12,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,2,32,-0.49046197931250296,0.49046197931250296,-0.4904619793125029,0.4904619793125029,-5.5511151231257827e-17,0.61234343882880238,1.6330704904957392,0.61234343882880227,1.6330704904957392,0,0,1.1102230246251565e-16,0,finite-prime positive-real control
29,10,3,1,-0.17463149696054434,0.17463149696054434,-0.18390303199910921,0.18390303199910921,0.0092715350385648709,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
29,10,3,2,-0.18316653933239693,0.18316653933239693,-0.18390303199910921,0.18390303199910921,0.00073649266671227398,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
29,10,3,4,-0.18389620180820904,0.18389620180820904,-0.18390303199910921,0.18390303199910921,6.8301909001700079e-06,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
29,10,3,8,-0.1839030310661654,0.1839030310661654,-0.18390303199910921,0.18390303199910921,9.3294380554276302e-10,0.83201647888982488,1.2018992716758672,0.83201647888982466,1.2018992716758672,0,0,2.2204460492503131e-16,0,finite-prime positive-real control
