variant,seed,s,theta,cutoff,degree,coefficient_real,coefficient_imag,coefficient_abs
maslov_action,,0.5,0.0,16,10,4.243681691900824e-12,2.6865532395720683e-13,4.252177087712222e-12
maslov_action,,0.5,0.0,16,11,-8.807327636223743e-14,5.507392584701672e-14,1.0387511404268948e-13
maslov_action,,0.5,0.0,16,12,1.6482419591042547e-15,-6.9956985549611895e-15,7.187245635682553e-15
maslov_action,,0.5,0.0,16,13,6.965215605453423e-17,1.1519704280036716e-16,1.346171664870228e-16
maslov_action,,0.5,0.0,16,14,-1.5485392589711623e-17,1.6246323538908995e-18,1.5570382588196244e-17
maslov_action,,0.5,0.0,16,15,3.7904691302405436e-19,-3.0977187399806195e-19,4.8952546020951375e-19
maslov_action,,0.5,0.0,16,16,-5.16724219025391e-21,2.1116919374455783e-20,2.1739932744146336e-20
maslov_action,,0.5,0.0,20,0,1.0,0.0,1.0
maslov_action,,0.5,0.0,20,1,0.0,0.16255734582344916,0.16255734582344916
maslov_action,,0.5,0.0,20,2,-0.003241651549018912,0.0,0.003241651549018912
maslov_action,,0.5,0.0,20,3,0.007524042666101025,-8.88652367320482e-06,0.007524047913963042
maslov_action,,0.5,0.0,20,4,0.001733110848018851,0.00026642622880838484,0.0017534697450819273
maslov_action,,0.5,0.0,20,5,-3.264940750562521e-07,5.673337469537833e-05,5.673431415560817e-05
maslov_action,,0.5,0.0,20,6,-5.114363707794135e-07,-1.0406986907517246e-08,5.115422433509386e-07
maslov_action,,0.5,0.0,20,7,-3.313469981990815e-08,4.5960516085238184e-09,3.345193600591206e-08
maslov_action,,0.5,0.0,20,8,5.296799409480618e-09,1.0814488880758415e-09,5.4060721121526575e-09
maslov_action,,0.5,0.0,20,9,1.9241554536658023e-11,6.472208477214903e-12,2.0300908934324036e-11
maslov_action,,0.5,0.0,20,10,4.243681691900824e-12,2.6865532395720683e-13,4.252177087712222e-12
maslov_action,,0.5,0.0,20,11,-8.807327636223743e-14,5.507392584701672e-14,1.0387511404268948e-13
maslov_action,,0.5,0.0,20,12,1.6482419591042547e-15,-6.9956985549611895e-15,7.187245635682553e-15
maslov_action,,0.5,0.0,20,13,6.965215605453423e-17,1.1519704280036716e-16,1.346171664870228e-16
maslov_action,,0.5,0.0,20,14,-1.5485392589711623e-17,1.6246323538908995e-18,1.5570382588196244e-17
maslov_action,,0.5,0.0,20,15,3.7904691302405436e-19,-3.0977187399806195e-19,4.8952546020951375e-19
maslov_action,,0.5,0.0,20,16,-5.16724219025391e-21,2.1116919374455783e-20,2.1739932744146336e-20
maslov_action,,0.5,0.0,20,17,-7.572811898252527e-22,-1.5508876209070967e-22,7.729989162928879e-22
