p,iterate,fix_count
53,12,28
53,13,2
53,14,16
53,15,22
53,16,26
53,17,2
53,18,20
53,19,21
53,20,15
53,21,16
53,22,2
53,23,25
53,24,76
53,25,32
53,26,28
53,27,2
53,28,80
53,29,2
53,30,70
53,31,2
53,32,58
53,33,35
53,34,2
53,35,21
53,36,64
53,37,39
53,38,21
53,39,41
53,40,15
53,41,43
53,42,34
53,43,2
53,44,54
53,45,22
53,46,25
53,47,96
53,48,92
53,49,16
53,50,32
53,51,53
53,52,36
53,53,2
53,54,74
53,55,7
53,56,80
53,57,21
53,58,2
53,59,61
53,60,78
53,61,2
53,62,64
53,63,16
53,64,122
59,1,2
59,2,4
59,3,8
59,4,4
59,5,7
59,6,16
59,7,2
59,8,4
59,9,17
59,10,19
59,11,13
59,12,16
59,13,15
59,14,4
59,15,28
59,16,4
59,17,2
59,18,25
59,19,21
59,20,19
59,21,29
59,22,15
59,23,25
59,24,16
59,25,7
59,26,17
59,27,44
59,28,60
59,29,2
59,30,76
59,31,33
59,32,4
59,33,52
59,34,4
59,35,7
59,36,25
59,37,76
59,38,23
59,39,99
59,40,59
59,41,2
59,42,79
59,43,2
59,44,15
59,45,127
59,46,73
59,47,2
59,48,16
59,49,2
59,50,19
59,51,59
59,52,17
59,53,2
59,54,106
59,55,183
59,56,116
59,57,84
59,58,4
59,59,61
59,60,76
59,61,63
59,62,35
59,63,101
59,64,4
61,1,0
61,2,2
61,3,6
61,4,2
61,5,15
61,6,14
61,7,0
61,8,2
61,9,15
61,10,17
61,11,11
61,12,26
61,13,13
61,14,2
61,15,36
61,16,34
61,17,17
61,18,77
61,19,38
61,20,17
61,21,27
61,22,13
61,23,0
61,24,98
61,25,40
61,26,41
61,27,15
61,28,2
61,29,0
61,30,74
61,31,0
61,32,66
61,33,17
61,34,19
61,35,50
61,36,89
61,37,0
61,38,40
61,39,19
61,40,57
61,41,0
61,42,35
61,43,0
61,44,13
61,45,45
61,46,2
61,47,47
61,48,130
61,49,0
61,50,92
61,51,23
61,52,93
61,53,0
61,54,77
61,55,26
61,56,58
61,57,101
61,58,2
61,59,0
61,60,86
61,61,0
61,62,64
61,63,36
61,64,66
67,1,0
67,2,0
67,3,0
67,4,8
67,5,5
67,6,0
67,7,0
67,8,24
67,9,18
67,10,5
67,11,0
67,12,32
67,13,26
67,14,14
67,15,35
67,16,24
67,17,34
67,18,36
67,19,19
67,20,13
67,21,21
67,22,0
67,23,23
67,24,72
67,25,5
67,26,52
67,27,45
67,28,78
67,29,29
67,30,95
67,31,0
67,32,24
67,33,0
67,34,34
67,35,5
67,36,68
67,37,37
67,38,57
67,39,65
67,40,109
67,41,0
67,42,35
67,43,43
67,44,52
67,45,98
67,46,69
67,47,0
67,48,72
67,49,98
67,50,105
67,51,85
67,52,112
67,53,53
67,54,63
67,55,5
67,56,150
67,57,19
67,58,29
67,59,0
67,60,127
67,61,0
67,62,0
67,63,39
67,64,24
71,1,0
71,2,2
71,3,6
71,4,6
71,5,0
71,6,26
71,7,0
71,8,22
71,9,6
71,10,2
71,11,22
71,12,42
71,13,0
71,14,30
71,15,36
71,16,22
71,17,17
71,18,44
71,19,0
71,20,26
71,21,48
71,22,46
71,23,0
71,24,58
71,25,0
71,26,54
71,27,33
71,28,118
71,29,58
71,30,86
71,31,31
71,32,22
71,33,28
71,34,19
71,35,0
71,36,96
71,37,37
71,38,2
71,39,6
71,40,42
71,41,0
71,42,96
71,43,0
71,44,50
71,45,81
71,46,48
71,47,0
71,48,58
71,49,0
71,50,102
71,51,74
71,52,110
71,53,0
71,54,71
71,55,77
71,56,134
71,57,6
71,58,60
71,59,59
71,60,122
71,61,0
71,62,33
71,63,48
71,64,22
73,1,0
73,2,2
73,3,0
73,4,14
73,5,5
73,6,8
73,7,14
73,8,14
73,9,18
73,10,77
73,11,11
73,12,32
73,13,13
73,14,44
73,15,5
73,16,78
73,17,0
73,18,44
73,19,0
73,20,109
73,21,14
73,22,13
73,23,46
73,24,56
73,25,5
73,26,93
73,27,18
73,28,84
73,29,0
73,30,83
73,31,0
73,32,78
73,33,44
73,34,2
73,35,19
73,36,68
73,37,37
73,38,2
73,39,13
73,40,109
73,41,41
73,42,50
73,43,0
73,44,25
73,45,68
73,46,94
73,47,0
73,48,120
73,49,112
73,50,77
73,51,51
73,52,157
73,53,0
73,54,44
73,55,16
73,56,84
73,57,0
73,58,60
73,59,0
73,60,127
73,61,61
73,62,2
73,63,95
73,64,78
79,1,0
79,2,0
79,3,6
79,4,0
79,5,0
79,6,12
79,7,0
79,8,16
79,9,24
79,10,50
79,11,11
79,12,24
79,13,0
79,14,28
79,15,21
79,16,48
79,17,0
79,18,48
79,19,19
79,20,50
79,21,27
79,22,11
79,23,23
79,24,64
79,25,25
79,26,26
79,27,105
79,28,28
79,29,0
79,30,107
79,31,31
79,32,48
79,33,17
79,34,68
79,35,35
79,36,132
79,37,37
79,38,95
79,39,6
79,40,66
79,41,82
79,42,145
79,43,86
79,44,55
79,45,84
79,46,69
79,47,0
79,48,96
79,49,0
79,50,75
79,51,6
79,52,26
79,53,0
79,54,183
79,55,11
79,56,44
79,57,25
79,58,0
79,59,0
79,60,179
79,61,0
79,62,31
79,63,234
79,64,48
83,1,2
83,2,4
83,3,2
83,4,4
83,5,2
83,6,28
83,7,2
83,8,12
83,9,11
83,10,14
83,11,13
83,12,28
83,13,2
83,14,32
83,15,32
83,16,28
83,17,2
83,18,37
83,19,40
83,20,14
83,21,2
83,22,37
83,23,48
83,24,36
83,25,127
83,26,4
83,27,11
83,28,32
83,29,2
83,30,98
83,31,33
83,32,92
83,33,46
83,34,72
83,35,72
83,36,37
83,37,76
83,38,42
83,39,2
83,40,62
83,41,2
83,42,56
83,43,45
83,44,81
83,45,41
83,46,50
83,47,2
83,48,52
83,49,2
83,50,139
83,51,104
83,52,56
83,53,2
83,54,37
83,55,13
83,56,96
83,57,40
83,58,4
83,59,2
83,60,98
83,61,2
83,62,35
83,63,11
83,64,92
89,1,0
89,2,0
89,3,6
89,4,0
89,5,0
89,6,6
89,7,0
89,8,8
89,9,6
89,10,0
89,11,0
89,12,6
89,13,13
89,14,0
89,15,6
89,16,56
89,17,17
89,18,42
89,19,19
89,20,0
89,21,27
89,22,44
89,23,23
89,24,14
89,25,75
89,26,39
89,27,60
89,28,84
89,29,87
89,30,6
89,31,124
89,32,56
89,33,6
89,34,17
89,35,0
89,36,42
89,37,0
89,38,57
89,39,19
89,40,8
89,41,41
89,42,69
89,43,0
89,44,44
89,45,6
89,46,161
89,47,47
89,48,62
89,49,49
89,50,75
89,51,74
89,52,91
89,53,53
89,54,96
89,55,55
89,56,92
89,57,25
89,58,203
89,59,59
89,60,6
89,61,61
89,62,124
89,63,90
89,64,56
97,1,0
97,2,2
97,3,0
97,4,6
97,5,5
97,6,14
97,7,0
97,8,6
97,9,18
97,10,7
97,11,11
97,12,18
97,13,0
97,14,2
97,15,20
97,16,6
97,17,17
97,18,32
97,19,0
97,20,31
97,21,0
97,22,35
97,23,46
97,24,42
97,25,55
97,26,28
97,27,45
97,28,62
97,29,58
97,30,94
97,31,0
97,32,70
97,33,11
97,34,53
97,35,75
97,36,36
97,37,0
97,38,2
97,39,0
97,40,111
97,41,0
97,42,14
97,43,43
97,44,83
97,45,38
97,46,48
97,47,0
97,48,42
97,49,49
97,50,107
97,51,17
97,52,84
97,53,53
97,54,59
97,55,71
97,56,62
97,57,0
97,58,60
97,59,118
97,60,178
97,61,0
97,62,64
97,63,81
97,64,70
101,1,0
101,2,0
101,3,6
101,4,8
101,5,10
101,6,12
101,7,0
101,8,24
101,9,24
101,10,20
101,11,11
101,12,44
101,13,0
101,14,14
101,15,46
101,16,56
101,17,34
101,18,48
101,19,19
101,20,68
101,21,6
101,22,33
101,23,23
101,24,60
101,25,10
101,26,0
101,27,24
101,28,22
101,29,58
101,30,62
101,31,93
101,32,56
101,33,50
101,34,68
101,35,10
101,36,152
101,37,37
101,38,19
101,39,45
101,40,84
101,41,0
101,42,26
101,43,0
101,44,41
101,45,64
101,46,69
101,47,47
101,48,92
101,49,147
101,50,70
101,51,40
101,52,60
101,53,106
101,54,48
101,55,21
101,56,206
101,57,82
101,58,174
101,59,59
101,60,134
101,61,0
101,62,93
101,63,24
101,64,56
103,1,2
103,2,2
103,3,2
103,4,2
103,5,12
103,6,8
103,7,30
103,8,2
103,9,11
103,10,32
103,11,35
103,12,32
103,13,28
103,14,30
103,15,27
103,16,66
103,17,2
103,18,17
103,19,2
103,20,72
103,21,30
103,22,79
103,23,2
103,24,32
103,25,37
103,26,54
103,27,11
103,28,86
103,29,31
103,30,53
103,31,2
103,32,66
103,33,68
103,34,36
103,35,40
103,36,113
103,37,2
103,38,78
103,39,28
103,40,72
103,41,2
103,42,36
103,43,2
103,44,123
103,45,36
103,46,2
103,47,2
103,48,144
103,49,30
103,50,57
103,51,2
103,52,106
103,53,55
103,54,71
103,55,155
103,56,142
103,57,2
103,58,31
103,59,2
103,60,117
103,61,185
103,62,64
103,63,39
103,64,66
107,1,0
107,2,2
107,3,0
107,4,2
107,5,5
107,6,20
107,7,0
107,8,2
107,9,9
107,10,27
107,11,0
107,12,32
107,13,39
107,14,44
107,15,50
107,16,18
107,17,0
107,18,29
107,19,0
107,20,47
107,21,21
107,22,2
107,23,0
107,24,56
107,25,5
107,26,67
107,27,9
107,28,44
107,29,0
107,30,120
107,31,0
107,32,82
107,33,0
107,34,36
107,35,5
107,36,41
107,37,0
107,38,2
107,39,39
107,40,87
107,41,0
107,42,125
107,43,43
107,44,2
107,45,59
107,46,48
107,47,47
107,48,120
107,49,0
107,50,127
107,51,0
107,52,119
107,53,53
107,54,29
107,55,60
107,56,100
107,57,0
107,58,60
107,59,0
107,60,212
107,61,0
107,62,2
107,63,30
107,64,82
109,1,2
109,2,4
109,3,8
109,4,4
109,5,7
109,6,28
109,7,16
109,8,4
109,9,26
109,10,29
109,11,2
109,12,28
109,13,15
109,14,32
109,15,58
109,16,4
109,17,2
109,18,64
109,19,78
109,20,29
109,21,22
109,22,4
109,23,25
109,24,100
109,25,32
109,26,43
109,27,53
109,28,32
109,29,31
109,30,128
109,31,2
109,32,4
109,33,8
109,34,4
109,35,21
109,36,100
