system_id,marking_id,move_target,move_source,move_exponent,positive_generator_count,alphabet_size,marked_owner_rows,raw_cyclically_reduced_linear_words,symbolically_primitive_owner_rows,symbolic_repetition_owner_rows,identity_owner_rows,parabolic_owner_rows,loxodromic_owner_rows,primitive_loxodromic_phase_rows,q_real,q_imag,abs_q,null_mean_abs_q,null_sample_sd_abs_q,z_abs_q,maximum_matrix_determinant_residual,all_candidate_level3_membership,evaluation_digest,evidence_status
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_2_P,3,2,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423321,-0.0054897746613002665,0.010390314272989927,0.029631066755635038,0.015491795451916332,-1.241996290382535,0.00000000000000000e+00,true,2a34dfdab4eda7de136f76a06d78b0a4595c4f88f42167bd3fce8e7e71a876a4,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_2_P,3,2,1,4,8,2074,19624,2046,28,6,93,1975,1953,0.0180010922436795,-0.074708772994016223,0.076846861251692683,0.025166177850517585,0.013698965266483218,3.772597593748225,3.56418164546513477e-60,NOT_APPLICABLE_CONTROL,8f8f2d4d0483771037185b3e4bdaa1a7c8b9399f59e5fd936542ec611404833c,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_2_M,3,2,-1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423373,0.005489774661300257,0.010390314272989927,0.030436596133047344,0.017460296635603438,-1.1481066031364482,0.00000000000000000e+00,true,0610fccbdd1adfe88a9ccf05f5695378f775bf3839c55650b06abf310e4d0441,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_2_M,3,2,-1,4,8,2074,19624,2046,28,24,214,1836,1816,0.090525840416781911,-0.0015653499788167806,0.090539373223591776,0.030329018355000251,0.015140120342543769,3.9768742590110269,4.06620097925978478e-62,NOT_APPLICABLE_CONTROL,816fbdc05fd41aac6b1e243b17f8f603071105347e48d583be51281adf1d120f,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_4_P,3,4,1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580843469,0.0002735931701270614,0.00029798770937747581,0.028824855186885472,0.014976469502978755,-1.9047791919072867,0.00000000000000000e+00,true,4204a0427ab6f9d9926e4185e41a7829458a0aa4ae26a32838db001229339487,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_4_P,3,4,1,4,8,2074,19624,2046,28,5,78,1991,1969,0.14741008872261965,0.042930594361059976,0.15353426389377869,0.027623958199054884,0.014559225348009104,8.6481459476785538,1.15632328685602049e-59,NOT_APPLICABLE_CONTROL,e6349de9d77098626b2ecd20411917af2fd0bb7dd32de151fec16801cfc74c57,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R3_4_M,3,4,-1,4,8,2074,19624,2046,28,2,132,1940,1932,0.00011808239580844487,-0.00027359317012710759,0.00029798770937752226,0.026529198361766704,0.013623024293672101,-1.9255056797170644,0.00000000000000000e+00,true,f193a88379af39455cf9b60b30a2e8986a80d3fde4a112525b615c1f6d66d414,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R3_4_M,3,4,-1,4,8,2074,19624,2046,28,5,103,1966,1945,0.14523638522664054,-0.087920356277474382,0.16977513552242907,0.029162055665046292,0.017838232727526378,7.8826799720132108,1.99936463497079798e-61,NOT_APPLICABLE_CONTROL,0579758d21da457315e6309cbb2e7f46fe10395361f209f002d87a5c6f22c377,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
BIANCHI_LEVEL3_NIELSEN_PANEL,R4_1_P,4,1,1,4,8,2074,19624,2046,28,1,81,1992,1979,0.0088216214416423321,-0.0054897746613002665,0.010390314272989927,0.029818289201580448,0.014603462051288884,-1.3303677484392018,0.00000000000000000e+00,true,00df8879a29a03009cf86db5e1c036dcbc6dc5d21cd915c31b7807d083b90c7a,EXACT_SYMBOLIC_AND_CANDIDATE_MATRIX_PLUS_NUMERICAL_COMPLEX_LENGTH
FIVE_TWO_STABILIZED_NIELSEN_PANEL,R4_1_P,4,1,1,4,8,2074,19624,2046,28,5,90,1979,1955,-0.06170926095213667,-0.0088173324065754528,0.062336010764460582,0.028136550775587053,0.012534033162114573,2.7285279643463025,2.45988713053530350e-60,NOT_APPLICABLE_CONTROL,da7151198bbac5df02f25e6a0f32b2da708f02b5fbf107098fa3e93fe0cf88f9,PROVED_CONTROL_GEOMETRY_PLUS_HIGH_PRECISION_NONINTERVAL_HOLONOMY
