d9_re,d9_im,matrix_rows,distinct_first_jets_up_to_sign,joint_descriptor_collisions_beyond_first,maximum_joint_descriptor_bucket,all_joint_descriptor_buckets_are_matrix_collisions,owner_interpretation
404,-1818,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
404,1818,48,2,46,24,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
444,-2200,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
444,2200,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
469,0,32,2,30,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
484,-2618,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
484,2618,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
536,-1056,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
536,1056,96,2,94,48,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
549,-632,8,2,6,4,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
549,632,8,2,6,4,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
657,-316,32,2,30,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
657,316,32,2,30,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
693,0,48,5,43,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
765,0,48,5,43,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
820,-970,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
820,970,48,4,44,12,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
1133,0,32,2,30,16,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
1344,0,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
1573,0,8,2,6,4,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2076,-274,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2076,274,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2240,0,40,2,38,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2452,-906,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2452,906,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2520,-1920,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2520,1920,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2844,0,160,5,155,80,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2952,-656,40,2,38,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2952,656,40,2,38,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
2988,0,160,5,155,80,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
3092,-1014,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
3092,1014,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
3520,0,40,2,38,20,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
4044,-382,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
4044,382,80,2,78,40,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
5280,0,40,4,36,10,true,NECESSARY_INVARIANT_ONLY_NOT_CONJUGACY_CLASSIFICATION
