cutoff_k,grid_id,sigma,tau,observable,method,value_re,value_im,abs_diff_vs_mpmath_100
18,R175,1.75,0.0,liouville,mpmath_50dps,-0.57787927638910176925859562526553812964744333100931,0.0,4.697084018760149045780528316203038684761e-51
18,R175,1.75,0.0,liouville,mpmath_100dps,-0.5778792763891017692585956252655381296474433310093146970840187601490457805283162030386847610781909979,0.0,0.0
18,R190,1.9,0.0,liouville,numpy_complex128,-0.10425548973362861,0.0,2.829340064289784069821374693840578563307e-15
18,R190,1.9,0.0,liouville,mpmath_50dps,-0.10425548973363143934006428978406982137469384057856,0.0,3.307421953706986010474870978489941826227e-51
18,R190,1.9,0.0,liouville,mpmath_100dps,-0.1042554897336314393400642897840698213746938405785633074219537069860104748709784899418262272280242203,0.0,0.0
18,R200,2.0,0.0,liouville,numpy_complex128,0.1040997641865065,0.0,9.28363955213086513271328939636559723041e-16
18,R200,2.0,0.0,liouville,mpmath_50dps,0.10409976418650742836395521308651327132893963655972,0.0,3.041030858969328221851086706564882286643e-51
18,R200,2.0,0.0,liouville,mpmath_100dps,0.1040997641865074283639552130865132713289396365597230410308589693282218510867065648822866428682361449,0.0,0.0
18,R2125,2.125,0.0,liouville,numpy_complex128,0.29135774147829807,0.0,1.245222483117188996775163096038082658482e-15
18,R2125,2.125,0.0,liouville,mpmath_50dps,0.29135774147829682477751688281100322483690396191734,0.0,1.518358178562088952912439069978994140313e-51
18,R2125,2.125,0.0,liouville,mpmath_100dps,0.2913577414782968247775168828110032248369039619173415183581785620889529124390699789941403126888881915,0.0,0.0
18,R250,2.5,0.0,liouville,numpy_complex128,0.6005129896384489,0.0,3.571715024251555204910402466312799364384e-17
18,R250,2.5,0.0,liouville,mpmath_50dps,0.60051298963844893571715024251555204910402466312799,0.0,3.643836189171729643441911542779179200907e-51
18,R250,2.5,0.0,liouville,mpmath_100dps,0.6005129896384489357171502425155520491040246631279936438361891717296434419115427791792009074209877793,0.0,0.0
18,R300,3.0,0.0,liouville,numpy_complex128,0.7778566724746864,0.0,1.173877072765558414082990776752208918624e-15
18,R300,3.0,0.0,liouville,mpmath_50dps,0.77785667247468522612292723444158591700922324779108,0.0,1.37581136753648312160682644501732499562e-51
18,R300,3.0,0.0,liouville,mpmath_100dps,0.7778566724746852261229272344415859170092232477910813758113675364831216068264450173249956201968214437,0.0,0.0
18,R400,4.0,0.0,liouville,numpy_complex128,0.9122920420272105,0.0,5.885656333457411563936427897589807985076e-16
