candidate_id,sigma,cutoff,row_nuclear_lower_prefix,row_dyadic_increment,row_increment_ratio,successor_s1_prefix,successor_dyadic_increment,theorem_membership,theorem_status
SD-C23,0.5,2048,14.303602593241713,1.8827290756896389,1.0522038590312979,6.936540740423406,0.6931471954611039,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.5,4096,16.27485820028846,1.9712556070467464,1.0470203241136435,7.629687924708642,0.6931471842852357,False,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,64,5.584148382898972,5.584148382898972,,3.307193260258134,3.307193260258134,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,128,6.941431858306309,1.3572834754073373,0.24306006616226644,3.9406215155506836,0.6334282552925496,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,256,8.382867242557335,1.441435384251026,1.0620002456144495,4.565326595498915,0.6247050799482312,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,512,9.900671334801753,1.5178040922444183,1.0529810138059528,5.181430539526808,0.616103944027893,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,1024,11.480132871922248,1.579461537120494,1.040622795254756,5.789052241563714,0.6076217020369059,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,2048,13.120984509873328,1.64085163795108,1.0388677402949018,6.388308597379788,0.599256355816074,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.51,4096,14.81720725641428,1.6962227465409523,1.0337453474215461,6.979314804321116,0.5910062069413282,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,64,4.6141342974753785,4.6141342974753785,,2.7372350726145456,2.7372350726145456,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,128,5.574597326604808,0.9604630291294294,0.20815671309240963,3.1790549855760175,0.44181991296147194,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,256,6.54367400768933,0.9690766810845224,1.0089682285458716,3.5912858431748984,0.4122308575988809,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,512,7.513059512868027,0.969385505178697,1.0003186786971585,3.975910437470964,0.38462459429606577,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,1024,8.471366419322273,0.9583069064542453,0.988571524264323,4.334777780940792,0.35886734346982774,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,2048,9.41724267625376,0.9458762569314878,0.987028529754887,4.669612830438397,0.3348350494976051,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.55,4096,10.346214472574713,0.928971796320953,0.9821282535779315,4.9820249733169915,0.3124121428785944,True,diagnostic_only_exact_threshold_proved_analytically
SD-C23,0.6,64,3.666081890787199,3.666081890787199,,2.180205606878239,2.180205606878239,True,diagnostic_only_exact_threshold_proved_analytically
