candidate_id,q,d,length,predicted_length,first_vertex,last_vertex,simple_cycle,primitive_certificate,closing_quotient,mass
SD-C23,13,12,144,144,12,155,True,True,13,119978127040829772835893038496648597136451208296701318093386652735919547198734198737037270755029152035135844666213513782067218543957157804758979083352935993812291564406729104885166048867962551103702098871042481070997844025313067008000000000000000000000000000000000000
SD-C23,13,13,156,156,13,168,True,True,13,527362694607533333403900711223374023549458543896642306906793572830449064199266734775582221146058277629429053424701412990001482245781716821531837967171123561325955588858894809880631638949566285976594739021543578940506702678560259538907431053700474139679129600000000000000000000000000000000000000
SD-C23,13,14,168,168,14,181,True,True,13,5839419600516399148354890990346860226334044312907236122805113428233308588364547064039613453401281887824964151763836942595479497342569660381497896608003297227801642045927706708798314604648715240770094499592875116437840657982914025341594045449417033012173785142046865732700811034624000000000000000000000000000000000000000000
SD-C23,13,15,180,180,15,194,True,True,13,152466740814122483404122189490939838643970574482003716599290559859907527600849089973387789624560993912409021261096730955222604115951453887268464441913423227957385666312659152587155438765802559459962161004220942885327794755917863008766119082637262916816854462643448421296252378255236956231487006806302628249600000000000000000000000000000000000000000000
SD-C23,13,16,192,192,16,207,True,True,13,8864496808768676705950314086206343983871612113834115098550383686090273585014072569385627553542430407666432227673831452882780144064267702055706730440266197496966589994337132913217976829228482003078075579734059895893613339665972004867895119137083636674725897531565310804204943483903428905081202370455869007675110107799217624239937945600000000000000000000000000000000000000000000000
SD-C23,14,2,26,26,2,27,True,True,14,10888869450418352160768000000
SD-C23,14,3,39,39,3,41,True,True,14,16726263306581903554085031026720375832576000000000
SD-C23,14,4,52,52,4,55,True,True,14,2116067225609712654327516807927752826596720175241572793712640000000000000
SD-C23,14,5,65,65,5,69,True,True,14,7130102184505887973852847453386368295511272703896682058068668371802386656422526976000000000000000
SD-C23,14,6,78,78,6,83,True,True,14,328793664143388220932478926501005088095304195063695385626869646069747929691638577790663266167531423924224000000000000000000
SD-C23,14,7,91,91,7,97,True,True,14,133601055114558499796289480485505137100477519332184689108478440721296868906224827081674832188318156460085116930110664121732038656000000000000000000000
SD-C23,14,8,104,104,8,111,True,True,14,349792172835366004736539890299022973960597130164001094452693266537172014898263554848522931467948872177221438028340868831973382439920609449071447669473280000000000000000000000000
SD-C23,14,9,117,117,9,125,True,True,14,4669338236331661953729582595465279904750505081138205007132892646536536615367400765547691787933926665020992198559773257456105206332871542604635006387860790067567618441592438784000000000000000000000000000000
SD-C23,14,10,130,130,10,139,True,True,14,264983553707591738431360108397534319852998455770383896881523043195260541995199823963803873508552253336027437189821880978014456734436076292714112102020557098772800290960040704042360944689602442130830131200000000000000000000000000000000
SD-C23,14,11,143,143,11,153,True,True,14,55289459465820171813775593777257418035230971565300146586814125684755551704485805869602428919368272827251541320835720636897335734542469034451142434724855296687691965164391292573809239109660161798941059387577180217049697707517542400000000000000000000000000000000000
SD-C23,14,12,156,156,12,167,True,True,14,37668763900538095243135765087383858824961324564045879064770969487889218871376195341113015796147019830673503816050100927857248731841551201537988426226508825808996827775635343562902259924969020426899624215824541352893335905611447109921959360978605295691366400000000000000000000000000000000000000
SD-C23,14,13,169,169,13,181,True,True,14,75912454806713188928613582874509182942342576067794069596466474567033011648739111832514974894216664541724533972929880253741233465453405584959472655904042863961421346597060187214378089860433298130011228494707376513691928553777882329440722590842421429158259206846609254525110543450112000000000000000000000000000000000000000000
SD-C23,14,14,182,182,14,195,True,True,14,416234202422554379693253577310265759498039668335870146316063228417547550350318015627348665675051513380876628042794075507757709236547469112242907926423645412323662869033559486562934347830640987325696699541523174076944879683655766013931505095599727762910012683016614190138768992636796890511959528581206175121408000000000000000000000000000000000000000000000
SD-C23,14,15,195,195,15,209,True,True,14,5780361079061878706416080809333432785003000827188949773462734194025745599315976441044980015113948020231127127021552013795803276341427683156485244785488782063821974003507357630051178330803308544567151524032985776914307386529387024934257049286909497802855263262383107869205959546983747920425350441726863062524785799093713828414378735566848000000000000000000000000000000000000000000000000
SD-C23,14,16,208,208,16,223,True,True,14,191082116121615706684631587930354969223566389415326057551899868826474260723226028029216295674564640492036186338112333836909262112361025485155673249987290571163209244654401969164341584465730153769017171851860877845434916716112091067174593827995510452610619202967097675429904777789025174066478803080035514125582201610107923956137849512265313143570138392223211706751385600000000000000000000000000000000000000000000000000
SD-C23,15,2,28,28,2,29,True,True,15,8841761993739701954543616000000
SD-C23,15,3,42,42,3,44,True,True,15,1329135787394224384021812905507307945159819264000000000
SD-C23,15,4,56,56,4,59,True,True,15,23113853090948305956323169953398234390983812795447905423470215823360000000000000
SD-C23,15,5,70,70,5,74,True,True,15,13782856006330776717748042842552240922736802159205623798775496951475468154207148560802119680000000000000000
SD-C23,15,6,84,84,6,89,True,True,15,137566293007570509010140993853780160915330551970804515457612672565276425286487581161665938089896672189409003191664640000000000000000000
SD-C23,15,7,98,98,7,104,True,True,15,14304189923813371699789699812173672615352461743054266919896516356788710739549009964642652599560955560049952366863386635687749641637743873228800000000000000000000000
SD-C23,15,8,112,112,8,119,True,True,15,11060686034142075161356015301075351499260493275691186855647604749175981410788629281360572363214260881792588686992748165596121707323756815244541139408713045644783334195200000000000000000000000000
SD-C23,15,9,126,126,9,134,True,True,15,49428143505990051506382048466838999137464247014915164193159267123098530900520837080555630077033497688198767472445006075900654340611009669445191714162889842096640288336851698479990056285026385920000000000000000000000000000000
SD-C23,15,10,140,140,10,149,True,True,15,1049636970246519435346658742148194812461337738573105235570039238557830488037283186234688684756674587473859271728888414979472851451327978109684669848543541787458527926508961253110768615712172297038606275549715579905884815360000000000000000000000000000000000
