kappa,cutoff,root_index,real,imag,high_precision_real,high_precision_imag,high_precision_residual
0,8,3,0.12899740637641122,-17.979105454183877,0.12899740637641013053606503663865612571453853649308216013425223289645657779107688,-17.97910545418387709188418880103691602891797158467585190103377559073708652497272,1.4341730661707344681e-79
0,8,4,0.045418421194006686,-16.841468762189976,0.045418421194006734359762516485547212172618251724216786381396036626630066081178738,-16.841468762189976373853242961383368181479596904590532251237720772552510340757437,6.4817373298911782409e-80
0,8,5,0.027243483210321526,-16.145842248354512,0.027243483210323869145626436621784149308101145083890679328684097519363167964813899,-16.145842248354515038067418425769822571593310485177485060802016321464780189939306,4.1387358714007563927e-80
0,8,6,0.1200953426670389,-15.612941991449675,0.12009534266703834613253532329317544800586490600366448728929040384648403259707543,-15.61294199144967733937257859481490441955612529033185682451695714150697379673219,3.6009988208601060705e-80
0,8,7,-0.22062988340913997,-15.022162038088087,-0.22062988340920999893972680575422828697813126148291779087102740721382436152037633,-15.022162038088071466958385230096921955494595380885467457224598613486684339824333,4.729564158632174318e-78
0,8,8,-0.05354049449158875,-14.078909471422712,-0.053540494491595680201786485094074275505917548220968849658054148505204858168485337,-14.078909471422722881566664588059059153283765637338484313163622768374309591125483,2.7888497494141923001e-79
0,8,9,-0.06421646261250936,-13.175210333218889,-0.064216462612508988643590827981981133450294146695700413389972128344161645222258867,-13.175210333218883164266238838259990512746657714044452278229459294325244910572922,6.5236531481230695514e-79
0,8,10,0.25811678995722087,-12.73767435262726,0.25811678995722084692060447749662640444300416839622444027125768181794125492485671,-12.737674352627260721695011597905989781993475154952780584326002522002390399469979,6.0151220744145657533e-81
0,8,11,0.10806968911884454,-11.803893403885219,0.10806968911884260919855625017811960062022583476051347780662493669044756680974198,-11.803893403885219057726371275648223629629908717110196169644297889475551781163059,4.4910714922059076096e-79
0,8,12,0.1301486817816673,-9.776723871509228,0.13014868178166437984132541153541261000893918454029194052031461468719811424476493,-9.7767238715092282692179116416990308483908067760982885440277666466937217783173631,1.220852526577053112e-80
0,8,13,0.1986239653965681,-9.029611526723713,0.19862396539656818334338145321470303062156379866027044701059935358170548959043627,-9.0296115267237124749112575410901107451690558167067572835455577692260572042841739,2.9988062767036151977e-80
0,8,14,0.01965304967066791,-7.884973320310684,0.019653049670670804963508962015673618004496739362636663564615586245337487145221868,-7.8849733203106838742713005164230949761494253348105485422860853452284713842627594,2.4661660539045010296e-79
0,8,15,-0.11440427802660144,-6.490264899617247,-0.11440427802660544728093055030069521904809708024724008033181494186453687336540221,-6.4902648996172334007312581907021960449417981758467900459091327248413270013271752,4.365246538916576073e-79
0,8,16,0.07083019794657977,-6.27430647615359,0.070830197946577946173999304378700186426643601460437206988617527670321845311127594,-6.2743064761535890744663012802092965009707383967760721473025136800115476832416328,3.7636717103385718052e-80
0,8,17,0.01546462927993663,-5.134023694389755,0.015464629279938825848794256653620021110471254924016665467295841757272219570435181,-5.1340236943897549952383611163013783851942144867347938484127728547037301102582012,4.1796732168629624062e-80
0,8,18,0.05491106335533862,-3.7330546022913724,0.054911063355339169698452490723765092388015221463828231544614583502293405442264288,-3.733054602291372338925959728898471379531970243958247128366198586692579715992707,6.7196175605060818681e-80
0,8,19,0.12867231122730435,-2.887414518551858,0.12867231122730424105691929873691604075350438821123836175323238364816872907649702,-2.8874145185518586346624446130049811503340832546962410272040837845784561786582643,1.1656907560112403728e-81
0,8,20,-0.04614388893979068,-1.0115138103305774,-0.046143888939789555170289962171956546437908364670407781372540383847455619531845903,-1.0115138103305770867252831166739127533483491709632583939244738246776218860009109,5.6173693929968261634e-80
0,8,21,0.27798279696823236,0.0,0.27798279696823238960837413460842740151732287853861583451359860173724763032177222,-1.4471326434033958402385548486885000514838231498768905435042033451873236784796577e-97,5.2710989716152616122e-82
0,8,22,-0.04614388893979031,1.0115138103305767,-0.04614388893978955517028996217195654643790836467040778137254038384745561953184591,1.0115138103305770867252831166739127533483491709632583939244738246776218860009109,8.4993917051907319547e-81
0,8,23,0.12867231122730435,2.887414518551858,0.12867231122730424105691929873691604075350438821123836175323238364816872907649702,2.8874145185518586346624446130049811503340832546962410272040837845784561786582643,2.9823661845062521375e-80
0,8,24,0.05491106335533855,3.7330546022913715,0.054911063355339169698452490723765092388015221463828231544614583502293405442264282,3.733054602291372338925959728898471379531970243958247128366198586692579715992707,7.329149898989170478e-80
0,8,25,0.015464629279939324,5.134023694389755,0.015464629279938825848794256653620021110471254924016665467295841757272219570435182,5.1340236943897549952383611163013783851942144867347938484127728547037301102582011,3.7089448450877611827e-80
0,8,26,0.07083019794657489,6.274306476153587,0.070830197946577946173999304378700186426643601460437206988617527670321845311127581,6.2743064761535890744663012802092965009707383967760721473025136800115476832416328,1.6856317053250533773e-80
0,8,27,-0.11440427802659521,6.490264899617213,-0.11440427802660544728093055030069521904809708024724008033181494186453687336540217,6.4902648996172334007312581907021960449417981758467900459091327248413270013271751,2.1920674863326723098e-79
0,8,28,0.01965304967066945,7.884973320310682,0.019653049670670804963508962015673618004496739362636663564615586245337487145221856,7.8849733203106838742713005164230949761494253348105485422860853452284713842627594,3.2578845822424538127e-79
0,8,29,0.19862396539656813,9.029611526723713,0.19862396539656818334338145321470303062156379866027044701059935358170548959043627,9.0296115267237124749112575410901107451690558167067572835455577692260572042841739,3.0130970645592247279e-80
