p,cycle_length,simulated_length,harmonic_lower_bound,length_over_log_p,optimal_max_weight_sigma_1,optimal_max_weight_sigma_2,source_roof_over_log_p
863,2569,2569,2557.9072273176307,380.00627437668186,0.9973719239575872,0.9947507546988591,4773.972895177532
877,2614,2614,2599.3703804838483,385.74445550523126,0.9974109675195806,0.9948286381283459,4858.753531992635
881,2625,2625,2611.2169956741973,387.10775586980765,0.9974200736970008,0.9948468034137304,4879.261899396055
883,2633,2633,2617.140303269372,388.1577135304627,0.9974270433525431,0.9948607068109958,4894.520258270152
887,2642,2642,2628.9869184597214,389.2251527378066,0.9974340905542987,0.9948747649998808,4911.025096163081
907,2733,2733,2718.4533277447945,401.31319132007206,0.9975112825939622,0.9950287589022515,5081.64322050231
911,2744,2744,2730.4332762684767,402.66824075659247,0.997519647170602,0.9950454464913624,5102.139065575469
919,2768,2768,2754.3931733158392,405.669636354685,0.9975379757501772,0.9950820130637612,5147.136988113941
929,2799,2799,2784.343044625043,409.5632813249337,0.9975613532121663,0.9951286534224884,5205.394897200338
937,2826,2826,2808.302941672406,412.9958794579107,0.9975815973950418,0.9951690434612434,5256.405875415809
941,2835,2835,2820.2828901960884,414.0533873590303,0.9975877666303029,0.9951813521304356,5272.901653221853
947,2853,2853,2838.2528129816105,416.29585418745364,0.9976007450417875,0.9952072465079297,5306.66174506351
953,2872,2872,2856.2227357671322,418.68239548987657,0.9976144047652349,0.9952345005950939,5342.422466174574
967,2945,2945,2929.3461039871145,428.4135818812725,0.997668529072674,0.995342493902033,5479.15470281222
971,2956,2956,2941.4550847688615,429.75569909729984,0.9976758017350705,0.9953570053677158,5499.645597184895
977,2975,2975,2959.6185559414803,432.1309852663089,0.9976885623353111,0.9953824674146999,5535.387264679266
983,2990,2990,2977.7820271141,433.92390249762724,0.9976981018949912,0.9954015025248683,5563.123725488314
991,3021,3021,3001.9999886775913,437.90766888043197,0.9977190189932451,0.9954432408608435,5622.136885570742
997,3036,3036,3020.1634598502096,439.697260791468,0.9977282921577973,0.995461744972115,5649.873601756734
1009,3075,3075,3056.4904021954494,444.57520527465573,0.9977531896475116,0.9955114274517832,5723.380595599296
1013,3084,3084,3068.5993829771955,445.6214975825244,0.9977584591053331,0.9955219427162487,5739.875879397177
1019,3098,3098,3086.7628541498148,447.2627655970203,0.9977666754345753,0.9955383386077652,5765.621056412877
1021,3109,3109,3092.817344540688,448.7238262377788,0.9977739391185702,0.9955528335841882,5786.881959694879
1031,3170,3170,3155.3085464950523,456.8852729089468,0.9978136602543762,0.9956321005902357,5900.985575337515
1033,3177,3177,3161.4255368859262,457.7663056387585,0.9978178635643686,0.995640488848161,5914.2301799311535
1039,3194,3194,3179.776508058544,459.8320711839712,0.9978276560141818,0.9956600311067563,5945.964130581763
1049,3222,3222,3210.3614600129094,463.2243694247749,0.9978435474217193,0.9956917451311611,5998.18672953852
1051,3233,3233,3216.478450403783,464.6785801936278,0.9978502887771307,0.9957051988126031,6019.443907017979
1061,3263,3263,3247.063402358148,468.3530057024419,0.9978671361634877,0.9957388214351205,6075.680585292153
1063,3268,3268,3253.180392749022,468.9439179461238,0.9978698209024983,0.9957441794679841,6084.92492614207
