role,grid_n,index,window,target,predicted,residual,percent_error
P,320,171,development,351.87864902535927,198.0215348138547,-153.85711421150458,43.724481334022734
P,320,172,development,353.4889004887188,198.63471089115305,-154.85418959756575,43.807369731686315
P,320,173,development,356.0175749772649,199.27991762959113,-156.7376573476738,44.02525840407822
P,320,174,development,357.1513022520396,199.7684681116669,-157.38283414037272,44.066151557613125
P,320,175,development,357.95268510163226,200.93130468321573,-157.02138041841653,43.866518384639015
P,320,176,development,359.74375495311443,201.23751007522307,-158.50624487789136,44.06087463521071
P,320,177,development,361.28936169580464,202.06526811918783,-159.2240935766168,44.071071683167624
P,320,178,development,363.33133057897385,202.90636215535696,-160.4249684236169,44.153904417760316
P,320,179,development,364.736024114089,203.42723544103075,-161.30878867305825,44.22617400210544
P,320,180,development,366.2127102883313,204.31659770040943,-161.8961125879219,44.20821780337874
P,320,181,development,367.9935754817403,205.57746891765603,-162.4161065640843,44.13558208223211
P,320,182,development,368.96843809573437,206.0213970464158,-162.94704104931856,44.16286712497602
P,320,183,development,370.050919212106,206.45413740852408,-163.59678180358193,44.209262377162595
P,320,184,development,373.06192837211285,207.4250356425888,-165.63689272952405,44.399302135249926
P,320,185,development,373.86487391090856,207.89797634146285,-165.9668975694457,44.392214714719465
P,320,186,development,375.82591276673935,209.51964183109055,-166.3062709356488,44.250879273156634
P,320,187,development,376.32409223066804,209.86163631509572,-166.46245591557232,44.23380255270477
P,320,188,development,378.4366802499655,210.415896960146,-168.0207832898195,44.39865162616852
P,320,189,development,379.87297534653237,210.8575871415767,-169.01538820495568,44.49260652216031
P,320,190,development,381.4844686171865,211.96022916671302,-169.5242394504735,44.43804489995851
P,320,191,development,383.44352944953647,212.5462996383466,-170.89722981118987,44.569073849420896
P,320,192,development,384.95611681486366,213.13137931414306,-171.8247375007206,44.63488953556646
P,320,193,development,385.86130084597426,214.02129851119835,-171.8400023347759,44.53413751470504
P,320,194,development,387.222890222388,214.46694678774148,-172.75594343464653,44.61408346377203
P,320,195,development,388.84612835423223,215.1373638231107,-173.70876453112155,44.67288005832369
P,320,196,development,391.45608356363806,216.05158508596162,-175.40449847767644,44.80821881240769
P,320,197,development,392.2450833395191,217.04489883897304,-175.20018450054607,44.665998872163414
P,320,198,development,393.427743844434,217.71703150583326,-175.71071233860076,44.66149504903214
P,320,199,development,395.5828700109937,218.43868614743178,-177.14418386356192,44.78054973882941
P,320,200,development,396.3818542225922,219.18162433694133,-177.20022988565088,44.7044252904025
P,320,201,development,397.9187362096142,219.63536016739454,-178.2833760422197,44.80396619180661
P,320,202,development,399.9851198761949,221.13363635021756,-178.85148352597736,44.71453427600912
P,320,203,development,401.8392286005332,221.72953458180606,-180.10969401872714,44.8213318162059
P,320,204,development,402.86191776388614,222.63650029410678,-180.22541746977936,44.73627551348944
P,320,205,development,404.236441800208,223.57708310456786,-180.65935869564015,44.69150725033598
P,320,206,development,405.13438745990993,224.65089621183324,-180.4834912480767,44.54904269658828
P,320,207,development,407.5814603868962,226.05072826418578,-181.53073212271042,44.5385155523003
P,320,208,development,408.9472455023511,227.1253193191499,-181.8219261832012,44.46097343432428
P,320,209,development,410.51386919336665,227.58360420472718,-182.93026498863946,44.561287380639705
P,320,210,development,411.9722678042788,228.85609659828182,-183.11617120599695,44.44866451374645
P,320,211,development,413.26273607018504,229.42660903659558,-183.83612703358946,44.48408022018426
P,320,212,development,415.01880975515513,230.1335053740506,-184.88530438110453,44.548656599487536
P,320,213,development,415.4552149962946,231.1188459584058,-184.3363690378888,44.36973285785638
P,320,214,development,418.3877057895348,231.99866527354501,-186.38904051598976,44.54935886900813
P,320,215,development,419.8613648181523,232.83330767820752,-187.0280571399448,44.54519344044652
P,320,216,development,420.6438276250418,233.68186330019532,-186.9619643248465,44.44662016804933
P,320,217,development,422.07671005882673,234.8610563271853,-187.21565373164142,44.35583610039709
P,320,218,development,423.7165796274818,235.7411508045752,-187.9754288229066,44.36348206817128
P,320,219,development,425.06988249446135,236.79600411436894,-188.2738783800924,44.29245310800057
P,320,220,development,427.2088250840746,238.1104472655042,-189.09837781857038,44.26368715144306
P,320,221,development,428.12791407661666,239.1822807403017,-188.94563333631496,44.13298622301505
P,320,222,development,430.3287454309386,239.80274644206983,-190.5259989888688,44.27452291109969
P,320,223,development,431.3013069307036,240.68357437866422,-190.6177325520394,44.1959552380085
P,320,224,development,432.1386417345886,241.25360443247757,-190.88503730211102,44.172175053798824
P,320,225,development,433.88921848092724,242.7422647707852,-191.14695371014204,44.054322063903605
P,320,226,development,436.16100643264696,243.35886815560227,-192.8021382770447,44.20435009859545
P,320,227,development,437.5816981676686,244.2399039545675,-193.3417942131011,44.184159214770936
P,320,228,development,438.6217386562722,245.52356299026388,-193.09817566600833,44.023849856956254
P,320,229,development,439.91844221437066,246.40034787077838,-193.51809434359228,43.98953891760046
P,320,230,development,441.68319920118904,247.20964882898977,-194.47355037219927,44.03009911264828
P,320,231,development,442.90454630260945,247.60456142685297,-195.29998487575648,44.095276624756075
P,320,232,development,444.31933627755916,249.37900872781861,-194.94032754974054,43.873923917631274
P,320,233,development,446.8606226964295,249.66310888891886,-197.19751380751066,44.12953475685301
P,320,234,development,447.4417041944933,251.34411867812204,-196.09758551637125,43.82639876392297
P,320,235,development,449.1485456850233,252.76719042630063,-196.38135525872266,43.72303041952629
P,320,236,development,450.1269457803135,254.39072298272762,-195.7362227975859,43.484671298286564
P,320,237,development,451.4033084453888,255.36180819424263,-196.04150025114618,43.42934501882665
P,320,238,development,453.9867378066779,255.78635049229635,-198.20038731438157,43.65774830162146
P,320,239,development,454.9746837686168,257.34861107393135,-197.62607269468543,43.436718513153735
P,320,240,development,456.32842668924604,257.7017640102443,-198.62666267900175,43.52712894089853
P,320,241,postfreeze-evaluation,457.903893064103,258.38498410299707,-199.51890896110592,43.57222377516996
P,320,242,postfreeze-evaluation,459.513415281106,259.86871188406,-199.644703397046,43.44698038356811
