cutoff,inventory,atoms,power,shared_supertrace,disjoint_supertrace,mixed_difference,equal,mixed_survives
127,matched_density_hash,6|9|13|15,4,22810690674215162161/3511453275801584100000000,2177876475946073761/3511453275801584100000000,33913238327201/5771619453980250000,False,True
127,matched_density_hash,6|9|13|15,5,1576424021804335641784549/4806828389244788474490000000000,80917941714030464715049/4806828389244788474490000000000,1966477422866936459/6320615896442851380000000,False,True
127,matched_density_hash,6|9|13|15,6,108945087722875831868088396841/6580067382037190942729361000000000000,3046472454025082405343936241/6580067382037190942729361000000000000,116040560233235535242981/7210242583867182711735000000000,False,True
127,matched_density_hash,6|9|13|15,7,7529086067440225864571721017284669/9007454239270710681502222272900000000000000,115339871428863870977230916293369/9007454239270710681502222272900000000000000,48742578540508625861896713353/59220606438334718484564249000000000000,False,True
127,matched_density_hash,6|9|13|15,8,520327609034726569274687067783526189921/12330304108137675851908392069372810000000000000000,4377402589296046524763750366652685121/12330304108137675851908392069372810000000000000000,424022194646146057486787736207161/10133386019179549516690000057012500000000000,False,True
127,arbitrary_decidable_modular,2|4|8|9,1,1765/5184,1765/5184,0/1,True,False
127,arbitrary_decidable_modular,2|4|8|9,2,3115225/26873856,1795249/26873856,679/13824,False,True
127,arbitrary_decidable_modular,2|4|8|9,3,5498372125/139314069504,2211588145/139314069504,1127155/47775744,False,True
127,arbitrary_decidable_modular,2|4|8|9,4,9704626800625/722204136308736,2832189691969/722204136308736,1767602137/185752092672,False,True
127,arbitrary_decidable_modular,2|4|8|9,5,17128666303103125/3743906242624487424,3659733467815825/3743906242624487424,13856926785275/3851755393646592,False,True
127,arbitrary_decidable_modular,2|4|8|9,6,30232096024977015625/19408409961765342806016,4739538520852056289/19408409961765342806016,4371151835412373/3327916660110655488,False,True
127,arbitrary_decidable_modular,2|4|8|9,7,53359649484084432578125/100613197241791537106386944,6141317055107236544305/100613197241791537106386944,48578531305532094685/103511519796081828298752,False,True
127,arbitrary_decidable_modular,2|4|8|9,8,94179781339409023500390625/521578814501447328359509917696,7958782551611992644206209/521578814501447328359509917696,11088091407895708700641/67075464827861024737591296,False,True
511,prime_evaluator,2|3|5|7,1,18589/44100,18589/44100,0/1,True,False
511,prime_evaluator,2|3|5|7,2,345550921/1944810000,149482321/1944810000,247/2450,False,True
511,prime_evaluator,2|3|5|7,3,6423446070469/85766121000000,1463962672369/85766121000000,4165183/72030000,False,True
511,prime_evaluator,2|3|5|7,4,119405439003948241/3782285936100000000,15361373289887041/3782285936100000000,65535440737/2382392250000,False,True
511,prime_evaluator,2|3|5|7,5,2219627705644393851949/166798809782010000000000,165731885855865818449/166798809782010000000000,1034968919016643/84050798580000000,False,True
511,prime_evaluator,2|3|5|7,6,41260659420223637313879961/7355827511386641000000000000,1809728274133615790072161/7355827511386641000000000000,16566276621352994677/3088866847815000000000,False,True
511,prime_evaluator,2|3|5|7,7,766994397962537194027714595029/324391993252150868100000000000000,19867191928359948315454870129/324391993252150868100000000000000,268915238107539591013303/116759166847407000000000000,False,True
511,prime_evaluator,2|3|5|7,8,14257658863725603899781186606994081/14305686902419853283210000000000000000,218619882328106465759449939735681/14305686902419853283210000000000000000,4421466043524029174232091417/4505444350724317612500000000000,False,True
511,square_control,4|9|16|25,1,1041361/12960000,1041361/12960000,0/1,True,False
511,square_control,4|9|16|25,2,1084432732321/167961600000000,684692872321/167961600000000,9139/3840000,False,True
511,square_control,4|9|16|25,3,1129285954562528881/2176782336000000000000,535675662438338881/2176782336000000000000,9047558179/33177600000000,False,True
511,square_control,4|9|16|25,4,1175994350929189638047041/28211099074560000000000000000,431129323292614607927041/28211099074560000000000000000,8514689387706619/322486272000000000000,False,True
511,square_control,4|9|16|25,5,1224634653277971850666304662801/365615844006297600000000000000000000,348783634059433000412563012801/365615844006297600000000000000000000,8009611515487323733459/3343537668096000000000000000,False,True
511,square_control,4|9|16|25,6,1275286767172202044381713689959112161/4738381338321616896000000000000000000000000,282446330610609043231623418596332161/4738381338321616896000000000000000000000000,7566227987818876704390262699/36110206815436800000000000000000000,False,True
511,square_control,4|9|16|25,7,1328033903149211493139385749889510999091121/61409422144648154972160000000000000000000000000000,228770609758045376547538786626134881581121/61409422144648154972160000000000000000000000000000,50263525075041889190299358173908373/2807929681968365568000000000000000000000000,False,True
511,square_control,4|9|16|25,8,1382962713417366029707123883890691063524528855681/795866110994640088439193600000000000000000000000000000000,185302448425091870516586086352521925635179015681/795866110994640088439193600000000000000000000000000000000,6845337591405316410554056913226846924379/4548846084788752220160000000000000000000000000000,False,True
511,fibonacci_control,2|3|5|8,1,6001/14400,6001/14400,0/1,True,False
511,fibonacci_control,2|3|5|8,2,36012001/207360000,15902401/207360000,931/9600,False,True
511,fibonacci_control,2|3|5|8,3,216108018001/2985984000000,50954493601/2985984000000,5097331/92160000,False,True
511,fibonacci_control,2|3|5|8,4,1296864216024001/42998169600000000,174627838204801/42998169600000000,25977693931/995328000000,False,True
511,fibonacci_control,2|3|5|8,5,7782482160360030001/619173642240000000000,615211500031356001/619173642240000000000,132727234450531/11466178560000000,False,True
511,fibonacci_control,2|3|5|8,6,46702675444320540036001/8916100448256000000000000,2193596202093773947201/8916100448256000000000000,686868506824487131/137594142720000000000,False,True
511,fibonacci_control,2|3|5|8,7,280262755341367560756042001/128391846454886400000000000000,7863281020113049193978401/128391846454886400000000000000,25222173548264306626117/11888133931008000000000000,False,True
511,fibonacci_control,2|3|5|8,8,1681856794803546732097008048001/1848842588950364160000000000000000,28254060870663199300819449601/1848842588950364160000000000000000,19138920531630596444400331/21398641075814400000000000000,False,True
511,all_integer_control,2|3|4|5,1,1669/3600,1669/3600,0/1,True,False
511,all_integer_control,2|3|4|5,2,2785561/12960000,1041361/12960000,323/2400,False,True
511,all_integer_control,2|3|4|5,3,4649101309/46656000000,807376609/46656000000,474287/5760000,False,True
511,all_integer_control,2|3|4|5,4,7759350084721/167961600000000,684692872321/167961600000000,655060853/15552000000,False,True
511,all_integer_control,2|3|4|5,5,12950355291399349/604661760000000000,601368567754849/604661760000000000,914739757307/44789760000000,False,True
511,all_integer_control,2|3|4|5,6,21614142981345513481/2176782336000000000000,535675662438338881/2176782336000000000000,1301139957957233/134369280000000000,False,True
511,all_integer_control,2|3|4|5,7,36074004635865661999789/7836416409600000000000000,479965776844489939489/7836416409600000000000000,13182977355193026689/2902376448000000000000,False,True
511,all_integer_control,2|3|4|5,8,60207513737259789877647841/28211099074560000000000000000,431129323292614607927041/28211099074560000000000000000,2767425204350332188413/1306069401600000000000000,False,True
511,matched_density_seeded_random,11|15|24|37,1,36198761/2385345600,36198761/2385345600,0/1,True,False
511,matched_density_seeded_random,11|15|24|37,2,1310350297935121/5689873631439360000,521204292779921/5689873631439360000,1488739/10734055200,False,True
511,matched_density_seeded_random,11|15|24|37,3,47433057261232238585081/13572315031309899042816000000,8929062639031317444281/13572315031309899042816000000,48425680482779/17069620894318080000,False,True
511,matched_density_seeded_random,11|15|24|37,4,1717017903298660370036325284641/32374661941748929918225357209600000000,163965606845168414031117406241/32374661941748929918225357209600000000,1464931399047734173619/30537708820447272846336000000,False,True
511,matched_density_seeded_random,11|15|24|37,5,62153920714229318355116500296976529801/77224757414238266285147215628347637760000000000,3112502294910332764645874663356601801/77224757414238266285147215628347637760000000000,14851035024690506631107196953/19424797165049357950935214325760000000,False,True
511,matched_density_seeded_random,11|15|24|37,6,2249894921147336394329775321406682424875776561/184207735309120625834904256151330273001209856000000000000,60119086155912917029851849086798980387606961/184207735309120625834904256151330273001209856000000000000,4131053905757474157140858593169675497/347511408364072198283162470327564369920000000000,False,True
511,matched_density_seeded_random,11|15|24|37,7,81443408525726275924945292043298680900978690421040921/439399110905575524704535193831848600850234724686233600000000000000,1172147688290642301270353407940023697419808223157721/439399110905575524704535193831848600850234724686233600000000000000,33651836797751920570199529424733530102958197/184207735309120625834904256151330273001209856000000000000,False,True
511,matched_density_seeded_random,11|15|24|37,8,2948150480248127813627148564750570601549792280644249670498881/1048118735842526593321654324651947199904263659497518698332160000000000000000,22969773723805259890454928495740835664021574041445825750081/1048118735842526593321654324651947199904263659497518698332160000000000000000,1379602307875161935844340686224538484746819096120979/494323999768772465292602093060829675956514065272012800000000000000,False,True
511,matched_density_hash,6|9|13|28,1,507805/10732176,507805/10732176,0/1,True,False
511,matched_density_hash,6|9|13|28,2,257865918025/115179601694976,110648486209/115179601694976,246913/193179168,False,True
511,matched_density_hash,6|9|13|28,3,130945602502685125/1236127757000380747776,29079161708834665/1236127757000380747776,113900227645/1382155220339712,False,True
511,matched_density_hash,6|9|13|28,4,66494831678876019900625/13266340646613318252143640576,8222919642474749448289/13266340646613318252143640576,48866810265468199/11125149813003426729984,False,True
511,matched_density_hash,6|9|13|28,5,33766408000691637285636878125/142376702695407935426017927942373376,2396516848032387839477784025/142376702695407935426017927942373376,105227130219978966060725/477588263278079457077171060736,False,True
511,matched_density_hash,6|9|13|28,6,17146750814791216871832834896265625/1528011831626792354788659381832868928946176,707434777579007496053143753012369/1528011831626792354788659381832868928946176,9190670766419899958282285611/854260216172447612556107567654240256,False,True
