atom,code_length,q,alpha_from_r1,power,normalized_trace_over_w_power,target,residual,match,r1_fit,r2_plus_failure,q_zero_rank_one_boundary
37,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
37,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
37,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
38,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
38,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
38,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
38,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
38,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
38,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
39,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
39,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
39,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
39,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
39,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
39,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
40,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
40,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
40,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
40,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
40,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
40,11,1/2048,2047/2048,6,35940921946155007/36046397799139329,1/1,-105475852984322/36046397799139329,False,False,True,False
41,11,1/2048,2047/2048,1,1/1,1/1,0/1,True,True,False,False
41,11,1/2048,2047/2048,2,2047/2049,1/1,-2/2049,False,False,True,False
41,11,1/2048,2047/2048,3,4190209/4196353,1/1,-6144/4196353,False,False,True,False
41,11,1/2048,2047/2048,4,8577357823/8594130945,1/1,-16773122/8594130945,False,False,True,False
41,11,1/2048,2047/2048,5,17557851463681/17600780175361,1/1,-42928711680/17600780175361,False,False,True,False
