sigma,cutoff,control,A_trace_norm,B_trace_norm,successor_lower,successor_upper,return_lower,return_upper,normalized_total_lower,normalized_total_upper,interval_ordered,theorem_class,finite_prefix_is_proof
0.50,256,A_only,1,0,4.86099752870445990206297308182787003259269086790316963393397,4.86099752870445990206297308182787003259269086790316963393651,3.26357598130345827825735947592116639231286755534090847944841,3.26357598130345827825735947592116639231286755534090847944963,4.860997528704459902062973082,4.860997528704459902062973082,True,not_trace_class,False
0.50,256,B_only,0,1,4.86099752870445990206297308182787003259269086790316963393397,4.86099752870445990206297308182787003259269086790316963393651,3.26357598130345827825735947592116639231286755534090847944841,3.26357598130345827825735947592116639231286755534090847944963,3.263575981303458278257359476,3.263575981303458278257359476,True,not_trace_class,False
0.50,256,A_and_B,1,1,4.86099752870445990206297308182787003259269086790316963393397,4.86099752870445990206297308182787003259269086790316963393651,3.26357598130345827825735947592116639231286755534090847944841,3.26357598130345827825735947592116639231286755534090847944963,8.124573510007918180320332558,8.124573510007918180320332558,True,not_trace_class,False
0.50,512,A_only,1,0,5.55219752523854071712109835300013484675643495986039642642222,5.55219752523854071712109835300013484675643495986039642642732,3.75301468996360112726645765954586684903519264930835746936713,3.75301468996360112726645765954586684903519264930835746936963,5.552197525238540717121098353,5.552197525238540717121098353,True,not_trace_class,False
0.50,512,B_only,0,1,5.55219752523854071712109835300013484675643495986039642642222,5.55219752523854071712109835300013484675643495986039642642732,3.75301468996360112726645765954586684903519264930835746936713,3.75301468996360112726645765954586684903519264930835746936963,3.753014689963601127266457660,3.753014689963601127266457660,True,not_trace_class,False
0.50,512,A_and_B,1,1,5.55219752523854071712109835300013484675643495986039642642222,5.55219752523854071712109835300013484675643495986039642642732,3.75301468996360112726645765954586684903519264930835746936713,3.75301468996360112726645765954586684903519264930835746936963,9.305212215202141844387556013,9.305212215202141844387556013,True,not_trace_class,False
0.50,1024,A_only,1,0,6.24436963097410564336196759063849445778147017873830084423564,6.24436963097410564336196759063849445778147017873830084424585,4.24279853714980990203393297115844680440665487250390939829542,4.24279853714980990203393297115844680440665487250390939830048,6.244369630974105643361967591,6.244369630974105643361967591,True,not_trace_class,False
0.50,1024,B_only,0,1,6.24436963097410564336196759063849445778147017873830084423564,6.24436963097410564336196759063849445778147017873830084424585,4.24279853714980990203393297115844680440665487250390939829542,4.24279853714980990203393297115844680440665487250390939830048,4.242798537149809902033932971,4.242798537149809902033932971,True,not_trace_class,False
0.50,1024,A_and_B,1,1,6.24436963097410564336196759063849445778147017873830084423564,6.24436963097410564336196759063849445778147017873830084424585,4.24279853714980990203393297115844680440665487250390939829542,4.24279853714980990203393297115844680440665487250390939830048,10.48716816812391554539590056,10.48716816812391554539590056,True,not_trace_class,False
0.50,2048,A_only,1,0,6.93702890250775468821614729448727280013157157278020875822629,6.93702890250775468821614729448727280013157157278020875824674,4.73275498596530761969802949079673228723034309127367556757316,4.73275498596530761969802949079673228723034309127367556758333,6.937028902507754688216147294,6.937028902507754688216147294,True,not_trace_class,False
0.50,2048,B_only,0,1,6.93702890250775468821614729448727280013157157278020875822629,6.93702890250775468821614729448727280013157157278020875824674,4.73275498596530761969802949079673228723034309127367556757316,4.73275498596530761969802949079673228723034309127367556758333,4.732754985965307619698029491,4.732754985965307619698029491,True,not_trace_class,False
0.50,2048,A_and_B,1,1,6.93702890250775468821614729448727280013157157278020875822629,6.93702890250775468821614729448727280013157157278020875824674,4.73275498596530761969802949079673228723034309127367556757316,4.73275498596530761969802949079673228723034309127367556758333,11.66978388847306230791417678,11.66978388847306230791417678,True,not_trace_class,False
0.50,4096,A_only,1,0,7.62993203553677519586420483940187129484442619167475338514197,7.62993203553677519586420483940187129484442619167475338518289,5.22279774359251061097095929240075806401819125649885561338305,5.22279774359251061097095929240075806401819125649885561340346,7.629932035536775195864204839,7.629932035536775195864204839,True,not_trace_class,False
0.50,4096,B_only,0,1,7.62993203553677519586420483940187129484442619167475338514197,7.62993203553677519586420483940187129484442619167475338518289,5.22279774359251061097095929240075806401819125649885561338305,5.22279774359251061097095929240075806401819125649885561340346,5.222797743592510610970959292,5.222797743592510610970959292,True,not_trace_class,False
0.50,4096,A_and_B,1,1,7.62993203553677519586420483940187129484442619167475338514197,7.62993203553677519586420483940187129484442619167475338518289,5.22279774359251061097095929240075806401819125649885561338305,5.22279774359251061097095929240075806401819125649885561340346,12.85272977912928580683516413,12.85272977912928580683516413,True,not_trace_class,False
0.51,32,A_only,1,0,2.69361533341008692235902332887025800050896673587426777947611,2.69361533341008692235902332887025800050896673587426777947641,1.73693068843497424149778371167058397938011210097461496939308,1.73693068843497424149778371167058397938011210097461496939321,2.693615333410086922359023329,2.693615333410086922359023329,True,trace_class,False
0.51,32,B_only,0,1,2.69361533341008692235902332887025800050896673587426777947611,2.69361533341008692235902332887025800050896673587426777947641,1.73693068843497424149778371167058397938011210097461496939308,1.73693068843497424149778371167058397938011210097461496939321,1.736930688434974241497783712,1.736930688434974241497783712,True,trace_class,False
0.51,32,A_and_B,1,1,2.69361533341008692235902332887025800050896673587426777947611,2.69361533341008692235902332887025800050896673587426777947641,1.73693068843497424149778371167058397938011210097461496939308,1.73693068843497424149778371167058397938011210097461496939321,4.430546021845061163856807041,4.430546021845061163856807041,True,trace_class,False
0.51,64,A_only,1,0,3.32145795233939938528191693132452767603041426748507967669970,3.32145795233939938528191693132452767603041426748507967670032,2.18899054225355368993975751230425444357061533139462403588316,2.18899054225355368993975751230425444357061533139462403588346,3.321457952339399385281916931,3.321457952339399385281916931,True,trace_class,False
