trace,norm,adjoint_trace_q,q_mod_8,geodesic_length,log_q_minus_length,relative_period_error,represented_in_frozen_ledger,multiplicity_within_frozen_block_cutoff
1597,2550406.999999608,2550407,7,14.751763512241617,1.5373792552428854e-13,1.0421664189282111e-14,True,2
1601,2563198.99999961,2563199,7,14.75676664571862,1.52207253727416e-13,1.0314404054872977e-14,False,0
1603,2569606.9999996107,2569607,7,14.75926352689012,1.514490615667788e-13,1.0261288531832904e-14,False,0
1611,2595318.9999996144,2595319,7,14.769219995735918,1.4846309419835597e-13,1.0052196002308711e-14,False,0
1617,2614686.999999617,2614687,7,14.77665495424445,1.4627179291883617e-13,9.898843369609817e-15,False,0
1619,2621158.9999996186,2621159,7,14.779127144334172,1.455503545676019e-13,9.848372853561901e-15,False,0
1639,2686318.9999996275,2686319,7,14.803682412974581,1.3857498249182386e-13,9.360845404949346e-15,False,0
1653,2732406.999999634,2732407,7,14.820693463686803,1.3393966904204988e-13,9.037341563687517e-15,False,0
1673,2798926.9999996424,2798927,7,14.844746687414231,1.2764883537709177e-13,8.598923111656377e-15,False,0
1679,2819038.999999645,2819039,7,14.851906604693578,1.2583395061057798e-13,8.472578905849718e-15,False,0
1681,2825758.999999646,2825759,7,14.854287559042914,1.2523616525582116e-13,8.43097757183107e-15,False,0
1687,2845966.999999649,2845967,7,14.861413462343222,1.2346398205150223e-13,8.307687715192228e-15,False,0
1693,2866246.999999651,2866247,7,14.868514066489823,1.2172303535758295e-13,8.186630810130342e-15,False,0
1695,2873022.9999996517,2873023,7,14.870875343498353,1.2114954697876228e-13,8.146766359098605e-15,False,0
1701,2893398.9999996545,2893399,7,14.87794249356329,1.194492276402572e-13,8.028612000075553e-15,False,0
1703,2900206.9999996554,2900207,7,14.880292671719547,1.1888909116088605e-13,7.989701129120765e-15,False,0
1715,2941222.99999966,2941223,7,14.894336039210954,1.1559634250281267e-13,7.761094029199548e-15,False,0
1717,2948086.999999661,2948087,7,14.896667043389035,1.1505868564231112e-13,7.723787160388464e-15,False,0
1721,2961838.9999996624,2961839,7,14.901320917167043,1.1399271702140265e-13,7.64983974609101e-15,False,0
1727,2982526.9999996647,2982527,7,14.908281485721167,1.1241680348329005e-13,7.540560834658214e-15,False,0
1737,3017166.9999996684,3017167,7,14.919828869608835,1.0985031382677622e-13,7.362706019405934e-15,False,0
1741,3031078.9999996703,3031079,7,14.92442921970545,1.0884424936902767e-13,7.293025935311116e-15,True,2
1749,3058998.999999673,3058999,7,14.933598296228663,1.06866437004672e-13,7.156107649665341e-15,False,0
