orbit_id,trace,adjoint_trace_q,q_is_prime_control,repeat,repeated_length,selberg_amplitude_direct,ruelle_logderivative_amplitude_at_s_half,selberg_to_ruelle_ratio,identity_residual,q_prime_target_amplitude,selberg_to_q_prime_target,ruelle_to_q_prime_target
MOD-005264,441,194479,True,3,36.53423840110032,1.4199391534780322e-07,1.4199391534780317e-07,1.0000000000000002,2.220446049250313e-16,1.4199391534248007e-07,1.0000000000374887,1.0000000000374882
MOD-005264,441,194479,True,4,48.71231786813376,3.219833230668282e-10,3.219833230668282e-10,1.0,0.0,3.219833230505015e-10,1.0000000000507066,1.0000000000507066
MOD-005264,441,194479,True,5,60.8903973351672,7.30124668224112e-13,7.30124668224112e-13,1.0,0.0,7.301246681774386e-13,1.0000000000639253,1.0000000000639253
MOD-005265,538,289442,False,1,12.575710210488282,0.023375087559525623,0.023375006800383683,1.000003454935548,4.440892098500626e-16,,,
MOD-005265,538,289442,False,2,25.151420420976564,4.34481181403822e-05,4.3448118139863575e-05,1.0000000000119365,2.220446049250313e-16,,,
MOD-005265,538,289442,False,3,37.727130631464846,8.075886291783052e-08,8.075886291783052e-08,1.0,0.0,,,
MOD-005265,538,289442,False,4,50.30284084195313,1.501099292444849e-10,1.501099292444849e-10,1.0,0.0,,,
MOD-005265,538,289442,False,5,62.87855105244141,2.790157023472561e-13,2.790157023472561e-13,1.0,0.0,,,
MOD-005266,455,207023,False,1,12.240585177162902,0.02690264490355671,0.026902514953527464,1.0000048304044982,0.0,,,
MOD-005266,455,207023,False,2,24.481170354325805,5.912669209572903e-05,5.912669209434945e-05,1.0000000000233327,0.0,,,
MOD-005266,455,207023,False,3,36.72175553148871,1.2994940153584444e-07,1.2994940153584444e-07,1.0000000000000002,2.220446049250313e-16,,,
MOD-005266,455,207023,False,4,48.96234070865161,2.8560445987029957e-10,2.8560445987029957e-10,1.0,0.0,,,
MOD-005266,455,207023,False,5,61.20292588581451,6.277051416455029e-13,6.277051416455029e-13,1.0,0.0,,,
MOD-005267,513,263167,True,1,12.48054409061893,0.024328730876866784,0.024328638430888082,1.0000037998829636,0.0,0.024328638430740592,1.000003799889026,1.0000000000060625
MOD-005267,513,263167,True,2,24.96108818123786,4.742442666055902e-05,4.742442665987426e-05,1.0000000000144391,0.0,4.7424426659244385e-05,1.0000000000277207,1.0000000000132816
MOD-005267,513,263167,True,3,37.44163227185679,9.244562742000072e-08,9.244562742000072e-08,1.0,0.0,9.244562741810559e-08,1.0000000000205,1.0000000000205
MOD-005267,513,263167,True,4,49.92217636247572,1.8020658616224297e-10,1.80206586162243e-10,1.0,1.1102230246251565e-16,1.8020658615724763e-10,1.00000000002772,1.0000000000277203
MOD-005267,513,263167,True,5,62.402720453094645,3.51281229870522e-13,3.51281229870522e-13,1.0,0.0,3.512812298582481e-13,1.0000000000349403,1.0000000000349403
MOD-005268,566,320354,False,1,12.677181913322531,0.022397987735693604,0.022397917819326908,1.000003121556533,0.0,,,
MOD-005268,566,320354,False,2,25.354363826645063,3.957241649415833e-05,3.9572416493772725e-05,1.0000000000097442,0.0,,,
MOD-005268,566,320354,False,3,38.0315457399676,6.991614844685919e-08,6.991614844685919e-08,1.0,0.0,,,
MOD-005268,566,320354,False,4,50.708727653290126,1.2352714963496115e-10,1.2352714963496117e-10,1.0,2.220446049250313e-16,,,
MOD-005268,566,320354,False,5,63.38590956661265,2.182465286762168e-13,2.1824652867621682e-13,1.0,1.1102230246251565e-16,,,
MOD-005269,527,277727,False,1,12.534393895779289,0.023784599924555283,0.023784514284340526,1.0000036006711652,2.220446049250313e-16,,,
MOD-005269,527,277727,False,2,25.068787791558577,4.51320681680366e-05,4.513206816745147e-05,1.0000000000129647,0.0,,,
MOD-005269,527,277727,False,3,37.603181687337866,8.563990639962582e-08,8.563990639962584e-08,1.0,1.1102230246251565e-16,,,
MOD-005269,527,277727,False,4,50.137575583117155,1.625051513465979e-10,1.625051513465979e-10,1.0,0.0,,,
MOD-005269,527,277727,False,5,62.67196947889644,3.0836003125636373e-13,3.0836003125636373e-13,1.0,0.0,,,
MOD-005270,365,133223,False,1,11.799779694798545,0.032328648875095144,0.032328406209422726,1.000007506267734,2.220446049250313e-16,,,
MOD-005270,365,133223,False,2,23.59955938959709,8.857164075368534e-05,8.857164074869494e-05,1.0000000000563434,2.220446049250313e-16,,,
MOD-005270,365,133223,False,3,35.399339084395635,2.426638509209689e-07,2.426638509209688e-07,1.0000000000000004,0.0,,,
MOD-005270,365,133223,False,4,47.19911877919418,6.648374586496729e-10,6.648374586496729e-10,1.0,0.0,,,
MOD-005270,365,133223,False,5,58.998898473992725,1.8214861618087064e-12,1.8214861618087064e-12,1.0,0.0,,,
MOD-005271,366,133954,False,1,11.805251736359931,0.03225526774855043,0.032255026954936566,1.0000074653049955,2.220446049250313e-16,,,
MOD-005271,366,133954,False,2,23.610503472719863,8.812914685396293e-05,8.81291468490515e-05,1.00000000005573,0.0,,,
MOD-005271,366,133954,False,3,35.41575520907979,2.407918162707663e-07,2.407918162707662e-07,1.0000000000000004,0.0,,,
MOD-005271,366,133954,False,4,47.221006945439726,6.579060487478013e-10,6.579060487478013e-10,1.0,0.0,,,
MOD-005271,366,133954,False,5,59.02625868179966,1.797570929454774e-12,1.7975709294547738e-12,1.0,2.220446049250313e-16,,,
MOD-005272,451,203399,False,1,12.222924846139493,0.027102095417752322,0.027101962171790357,1.0000049164691887,2.220446049250313e-16,,,
MOD-005272,451,203399,False,2,24.445849692278987,6.009333795510494e-05,6.00933379536524e-05,1.0000000000241716,0.0,,,
MOD-005272,451,203399,False,3,36.66877453841848,1.3324530687193863e-07,1.3324530687193857e-07,1.0000000000000002,2.220446049250313e-16,,,
MOD-005272,451,203399,False,4,48.891699384557974,2.9544559194049613e-10,2.9544559194049613e-10,1.0,0.0,,,
MOD-005272,451,203399,False,5,61.114624230697466,6.550932250166403e-13,6.550932250166402e-13,1.0,2.220446049250313e-16,,,
MOD-005273,491,241079,True,1,12.392879959570507,0.025240290777539788,0.025240186080362603,1.0000041480350759,0.0,0.025240186080180502,1.0000041480422908,1.0000000000072147
MOD-005273,491,241079,True,2,24.785759919141015,5.1405887530630945e-05,5.140588752974645e-05,1.000000000017206,0.0,5.140588752893331e-05,1.0000000000330243,1.0000000000158182
MOD-005273,491,241079,True,3,37.17863987871152,1.0469674289671396e-07,1.0469674289671394e-07,1.0000000000000002,0.0,1.0469674289415711e-07,1.0000000000244216,1.0000000000244211
MOD-005273,491,241079,True,4,49.57151983828203,2.1323254008283993e-10,2.1323254008283993e-10,1.0,0.0,2.1323254007579801e-10,1.0000000000330247,1.0000000000330247
MOD-005273,491,241079,True,5,61.964399797852536,4.3428396043834346e-13,4.3428396043834346e-13,1.0,0.0,4.3428396042026514e-13,1.0000000000416278,1.0000000000416278
MOD-005274,386,148994,False,1,11.911661315615378,0.030859640443519708,0.030859433323498466,1.0000067117247122,0.0,,,
MOD-005274,386,148994,False,2,23.823322631230756,7.994725503502515e-05,7.994725503142378e-05,1.0000000000450466,2.220446049250313e-16,,,
MOD-005274,386,148994,False,3,35.734983946846135,2.0711863111862596e-07,2.0711863111862588e-07,1.0000000000000004,0.0,,,
MOD-005274,386,148994,False,4,47.64664526246151,5.365803658873855e-10,5.365803658873856e-10,1.0,2.220446049250313e-16,,,
MOD-005274,386,148994,False,5,59.55830657807689,1.390113904774395e-12,1.3901139047743949e-12,1.0,2.220446049250313e-16,,,
MOD-005275,355,126023,True,1,11.74421970889485,0.03308283406348602,0.03308257154923016,1.0000079351224394,2.220446049250313e-16,0.03308257154836602,1.0000079351485607,1.0000000000261207
MOD-005275,355,126023,True,2,23.4884394177897,9.319108186897466e-05,9.319108186310688e-05,1.0000000000629652,2.220446049250313e-16,9.319108185773879e-05,1.000000000120568,1.000000000057603
MOD-005275,355,126023,True,3,35.23265912668455,2.6251217278840485e-07,2.6251217278840474e-07,1.0000000000000007,2.220446049250313e-16,2.625121727650192e-07,1.000000000089084,1.0000000000890836
MOD-005275,355,126023,True,4,46.9768788355794,7.394767770087571e-10,7.394767770087572e-10,1.0,1.1102230246251565e-16,7.394767769196002e-10,1.0000000001205676,1.0000000001205676
MOD-005275,355,126023,True,5,58.721098544474245,2.0830497036646847e-12,2.0830497036646847e-12,1.0,0.0,2.0830497033479545e-12,1.0000000001520513,1.0000000001520513
