orbit_id,code,sr_block_length,inverse_class_code,self_reverse,matrix_a,matrix_b,matrix_c,matrix_d,trace,discriminant,adjoint_trace_q,geodesic_length,norm,stable_multiplier,unstable_multiplier,trace_multiplicity_within_block_cutoff
MOD-001142,1112222112212,13,1111222121122,False,-171,-100,-53,-31,202,40800,40802,10.616486378198003,40801.9999754914,2.4508602534205956e-05,40801.9999754914,30
MOD-001143,1112222112222,13,1111221111222,False,-129,-29,-40,-9,138,19040,19042,9.85440234208776,19041.999947484506,5.2515492214991965e-05,19041.999947484506,6
MOD-001144,1112222121122,13,1111222112212,False,-177,-74,-55,-23,200,39996,39998,10.596584731220968,39997.99997499875,2.5001250078130472e-05,39997.99997499875,20
MOD-001145,1112222121212,13,1111222121212,False,-193,-119,-60,-37,230,52896,52898,10.876120809590944,52897.999981095694,1.8904306407754032e-05,52897.999981095694,28
MOD-001146,1112222121222,13,1111222111212,False,-164,-45,-51,-14,178,31680,31682,10.36350397425253,31681.999968436336,3.1563663941552455e-05,31681.999968436336,36
MOD-001147,1112222122112,13,1111222122112,False,-151,-106,-47,-33,184,33852,33854,10.429812438876514,33853.99997046139,2.9538606985069104e-05,33853.99997046139,16
MOD-001148,1112222122122,13,1111222112112,False,-167,-61,-52,-19,186,34592,34594,10.451435534768269,34593.99997109325,2.89067468588657e-05,34593.99997109325,8
MOD-001149,1112222122212,13,1111222121112,False,-138,-77,-43,-24,162,26240,26242,10.175116458213529,26241.999961893147,3.810685166725601e-05,26241.999961893147,20
MOD-001150,1112222122222,13,1111121111222,False,-93,-16,-29,-5,98,9600,9602,9.16972667824471,9601.999895855028,0.00010414497092753334,9601.999895855028,16
MOD-001151,1112222211212,13,1111122212122,False,-137,-86,-43,-27,164,26892,26894,10.19965849100124,26893.999962816986,3.7183014850248255e-05,26893.999962816986,16
MOD-001152,1112222211222,13,1111122211122,False,-121,-35,-38,-11,132,17420,17422,9.765489051084227,17421.99994260131,5.7398691498944424e-05,17421.99994260131,12
MOD-001153,1112222212112,13,1111122212212,False,-124,-89,-39,-28,152,23100,23102,10.047674470974922,23101.999956713706,4.328629563993175e-05,23101.999956713706,20
MOD-001154,1112222212122,13,1111122211212,False,-143,-54,-45,-17,160,25596,25598,10.15026950088962,25597.99996093445,3.9065552055868324e-05,25597.99996093445,16
MOD-001155,1112222212212,13,1111122212112,False,-127,-73,-40,-23,150,22496,22498,10.02118169337711,22497.999955551604,4.444839550074051e-05,22497.999955551604,12
MOD-001156,1112222212222,13,1111122211112,False,-92,-19,-29,-6,98,9600,9602,9.16972667824471,9601.999895855028,0.00010414497092753334,9601.999895855028,16
MOD-001157,1112222221122,13,1111112221122,False,-101,-41,-32,-13,114,12992,12994,9.47224298551785,12993.999923041403,7.69585967310009e-05,12993.999923041403,14
MOD-001158,1112222221212,13,1111112221212,False,-104,-63,-33,-20,124,15372,15374,9.640433045678241,15373.999934955118,6.50448812430621e-05,15373.999934955118,16
MOD-001159,1112222221222,13,1111112221112,False,-85,-22,-27,-7,92,8460,8462,9.043340817314593,8461.999881824626,0.00011817537390279119,8461.999881824626,20
