form,index,window,target,predicted,residual,percent_error
S,14,train,60.8317,61.361681281241715,0.5299812812417173,0.8712254979586586
S,15,train,65.1125,61.82889047146205,-3.2836095285379443,5.042978734556259
S,16,train,67.0798,66.25370858948203,-0.8260914105179751,1.231505476340083
S,17,train,69.5464,66.93859355539776,-2.6078064446022466,3.749736067722048
S,18,train,72.0671,69.00155783840435,-3.065542161595644,4.253733203633343
S,19,train,75.7046,71.08554679188306,-4.619053208116938,6.101416833477672
S,20,train,77.1448,77.86281317258909,0.7180131725890817,0.9307343756015722
S,21,train,79.3373,80.79529795310087,1.4579979531008718,1.837720659892474
S,22,train,82.9103,84.7991412885838,1.8888412885837909,2.2781744711860776
S,23,train,84.7354,86.78295608464495,2.0475560846449525,2.41641165869867
S,24,train,87.4252,89.58734254023932,2.1621425402393157,2.4731342224430892
S,25,train,88.8091,92.36353883322775,3.5544388332277492,4.002336284488582
S,26,train,92.4918,99.32362947062718,6.831829470627184,7.386416385698174
S,27,train,94.6513,100.36381498692093,5.712514986920922,6.035326495167971
S,28,train,95.8706,101.10055773016516,5.229957730165168,5.455225825399203
S,29,train,98.8311,101.25043094024578,2.4193309402457714,2.447944968988275
S,30,train,101.3178,104.63354095737725,3.315740957377244,3.2726144442311655
S,31,train,103.7255,104.76244611699282,1.036946116992823,0.9997022111176355
S,32,train,105.4466,108.50671473205111,3.0601147320511046,2.902051590142408
S,33,train,107.1686,108.81490019719857,1.6463001971985705,1.5361777584092453
S,34,train,111.0295,114.32786259633505,3.2983625963350534,2.9707083219640307
S,35,train,111.8746,116.01265477387352,4.13805477387352,3.698833134485862
S,36,train,114.3202,116.12093698711287,1.8007369871128702,1.5751695563101449
S,37,train,116.2266,116.94550021615515,0.7189002161551485,0.6185332928564963
S,38,train,118.7907,119.76853910655473,0.9778391065547254,0.8231613304364107
S,39,train,121.3701,121.71606003768468,0.34596003768469075,0.28504552413213036
S,40,train,122.9468,123.3237954746095,0.376995474609501,0.3066330108709629
S,41,train,124.2568,124.10428657155285,-0.15251342844715055,0.12274050872640414
S,42,train,127.5166,125.96821256136373,-1.5483874386362686,1.2142634281625049
S,43,train,129.5787,130.06946984641405,0.49076984641405375,0.3787426841093897
S,44,train,131.0876,132.0444401513494,0.9568401513493825,0.7299242272719788
S,45,train,133.4977,132.12324156254328,-1.374458437456724,1.0295746199797629
S,46,train,134.7565,136.1676717216522,1.4111717216522095,1.0472012271409614
S,47,train,138.116,137.73343481513345,-0.3825651848665643,0.27698831769423116
S,48,train,139.7362,141.21478453221508,1.4785845322150806,1.0581256197142048
S,49,train,141.1237,141.4746093233588,0.3509093233587919,0.24865371539917946
S,50,train,143.1118,143.18218186944904,0.07038186944905078,0.04917964098631335
S,51,train,146.0009,147.46744111770352,1.466541117703514,1.0044740256419749
S,52,train,147.4427,147.85084090253866,0.408140902538662,0.27681323153920945
S,53,train,150.0515,148.5894484999286,-1.4620515000713965,0.9743664675604019
S,54,train,150.9252,151.98174563964392,1.0565456396439288,0.7000458767945504
S,55,train,153.0246,153.68283179456384,0.6582317945638465,0.4301476981896025
S,56,train,156.1129,158.3052602353806,2.1923602353805904,1.404342777169978
S,57,train,157.5975,160.4026592919141,2.8051592919140944,1.7799516438484713
S,58,train,158.8499,161.14213556785722,2.292235567857233,1.443019836875713
S,59,train,161.1889,162.0896568985862,0.9007568985862235,0.5588206747401487
S,60,train,163.0306,165.37332605560755,2.3427260556075566,1.4369854834660223
S,61,train,165.5373,170.16658125084498,4.629281250844997,2.7965185192974618
S,62,train,167.1844,170.22696704207996,3.042567042079952,1.8198869284932995
S,63,train,169.0945,170.4425374662711,1.3480374662710801,0.7972095285601128
S,64,train,169.9119,170.58692951731965,0.6750295173196434,0.39728207225017403
S,65,train,173.4115,171.14590672622674,-2.2655932737732485,1.3064838685861369
S,66,train,174.7541,172.5785505357629,-2.1755494642370934,1.244920413447864
S,67,train,176.4414,175.28465615795284,-1.156743842047149,0.6555966128398149
S,68,train,178.3774,180.4567324559162,2.079332455916216,1.1656927704497408
S,69,train,179.9164,184.04634997759294,4.129949977592929,2.295482778442059
S,70,train,182.207,186.03082833552406,3.8238283355240696,2.0986176906068756
S,71,train,184.8744,186.48511111924168,1.610711119241671,0.8712461645537029
S,72,train,185.9589,186.57371319196602,0.6148131919660216,0.33061778272834563
S,73,train,187.2289,186.91735068949313,-0.3115493105068765,0.1664002248087109
S,74,train,189.4161,187.12878071861093,-2.287319281389074,1.2075632860084617
S,75,train,192.0266,187.69285885833176,-4.333741141668241,2.256844177665095
S,76,train,193.0797,188.39673145305832,-4.68296854694168,2.425406993558453
