cutoff_k,observable,grid_id,sigma,tau,seed_count,seeds,abs_value_mean,abs_value_std_population,successive_drift_mean,successive_drift_std_population,successive_drift_min,successive_drift_max
22,symbolic_parity,C225_7,2.25,7.0,1,none,1.0437411038573055,0.0,0.002257955092855182,0.0,0.002257955092855182,0.002257955092855182
22,symbolic_parity,C275_3,2.75,3.0,1,none,1.0921341848940804,0.0,0.0005175360059850676,0.0,0.0005175360059850676,0.0005175360059850676
22,symbolic_parity,C325_11,3.25,11.0,1,none,1.0073450374090023,0.0,6.018072994084519e-05,0.0,6.018072994084519e-05,6.018072994084519e-05
22,symbolic_parity,R160,1.6,0.0,1,none,0.5158481893214472,0.0,0.0030216066131574237,0.0,0.0030216066131574237,0.0030216066131574237
22,symbolic_parity,R175,1.75,0.0,1,none,0.5718874952452627,0.0,0.0023346981991769766,0.0,0.0023346981991769766,0.0023346981991769766
22,symbolic_parity,R190,1.9,0.0,1,none,0.6224404319648021,0.0,0.0017510366552001555,0.0,0.0017510366552001555,0.0017510366552001555
22,symbolic_parity,R200,2.0,0.0,1,none,0.6530746902357324,0.0,0.0014250302078792076,0.0,0.0014250302078792076,0.0014250302078792076
22,symbolic_parity,R2125,2.125,0.0,1,none,0.6880286357744999,0.0,0.0010862556975629323,0.0,0.0010862556975629323,0.0010862556975629323
22,symbolic_parity,R250,2.5,0.0,1,none,0.7728951854957126,0.0,0.0004463111728564284,0.0,0.0004463111728564284,0.0004463111728564284
22,symbolic_parity,R300,3.0,0.0,1,none,0.8496981147668137,0.0,0.00012042225794728356,0.0,0.00012042225794728356,0.00012042225794728356
22,symbolic_parity,R400,4.0,0.0,1,none,0.9311923123670455,0.0,6.971858037108092e-06,0.0,6.971858037108092e-06,6.971858037108092e-06
