case_id,length,extended_signs,iterations,fixed_point_increment,recurrence_residual,minimum_disk_margin,crossed_residual,float64_forward_crossed_residual,left_bound_ratio,right_bound_ratio,endpoint_formula_error,endpoint_reciprocity_error,theta_monodromy_error,projective_initial_ratio,projective_left_ratio,projective_right_ratio
N8:-+--+--+--,8,-+--+--+--,20,4.50195436485501e-14,6.750155989720952e-14,0.03564796854076638,7.707369477805333e-81,2.2568606428130522e-09,0.30780918933261686,0.43425574798157174,6.938893903907228e-18,2.117582368135751e-22,0.0,0.0012827027071957114,0.00026041434237798685,0.20685283996888376
N8:-+--+--++-,8,-+--+--++-,20,2.8255175976710234e-14,4.668487818548783e-14,0.03559654183817704,1.3011066242839338e-81,1.9588708988216297e-09,0.30781141912064514,0.43487687700866756,2.7755575615628914e-17,0.0,0.0,0.0018553574421228377,0.00025432857169369863,0.20680924011867238
N8:-+--++----,8,-+--++----,21,5.2735593669694936e-14,5.162537064506978e-14,0.03900057122793102,7.527116429874782e-81,1.9254265404278215e-09,0.3075223563967339,0.30837695340311105,6.938893903907228e-18,4.235164736271502e-22,0.0,0.0005035519536563163,9.294784560495942e-05,0.07455845674275469
N8:-+--++---+,8,-+--++---+,21,4.884981308350689e-14,4.6407322429331543e-14,0.04217928266595325,2.5062993394832463e-81,1.6234271149606627e-09,0.3075227417108386,0.4305031343513003,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.0010978038615332036,0.0002581313746810355,0.20294487936759847
N8:-+--++--+-,8,-+--++--+-,22,2.930988785010413e-14,3.502753642692369e-14,0.04211236874367333,4.556586566924408e-81,1.057587406538829e-09,0.30752575754599,0.30752575754599,6.938893903907228e-18,0.0,0.0,0.0015407270133440578,7.618526531730662e-05,0.0746360663837748
N8:-+--++--++,8,-+--++--++,22,3.164135620181696e-14,2.914335439641036e-14,0.04212608388105957,4.3087075502433926e-82,1.3127068876350734e-09,0.3075251395745976,0.42972340403357506,8.326672684688674e-17,4.235164736271502e-22,0.0,0.0023877409388000674,0.00024386557934138306,0.20300982781366259
N8:-++-------,8,-++-------,21,7.971401316808624e-14,1.3156142841808105e-13,0.018196446257280036,7.6496910149263e-81,1.884019135145465e-08,0.43635788095646694,0.3062743323343608,2.7755575615628914e-17,5.293955920339377e-23,0.0,7.882222802021339e-05,3.532660687419958e-05,0.07301230779698872
N8:-++------+,8,-++------+,22,2.986499936241671e-14,5.184741524999481e-14,0.02119545535286152,4.2003173758736815e-81,4.159274535897595e-09,0.4363574222520772,0.4247436333262405,8.326672684688674e-17,1.0587911840678754e-22,0.0,0.00016621739794433376,9.567871896322365e-05,0.19480360167795233
N8:-++-----+-,8,-++-----+-,21,2.5646151868841116e-14,4.4853010194856324e-14,0.024651705909918636,2.876881474797614e-81,4.525308627822966e-09,0.4363539353867383,0.30568830506669636,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.00019351993081026037,3.1769592279913353e-05,0.07305150481979537
N8:-++-----++,8,-++-----++,21,2.0539125955565396e-14,3.674838211509268e-14,0.02398567072108551,1.5926178462960447e-81,3.137995918667258e-09,0.43635460764197675,0.42419454273324064,2.7755575615628914e-17,0.0,0.0,0.0003129772298309047,9.251891317302939e-05,0.19483795080086166
N8:-++----+--,8,-++----+--,20,7.738254481637341e-14,7.760458942129844e-14,0.04511581319623373,1.1304651754963797e-81,1.388606507557455e-09,0.4363297087578953,0.43574781081759506,2.7755575615628914e-17,4.235164736271502e-22,0.0,0.0004317366136070066,0.00015384089714914797,0.20900927653513243
N8:-++----++-,8,-++----++-,19,3.552713678800501e-14,3.3584246494910985e-14,0.04452055396225876,1.3577694295126057e-80,6.16016843091316e-09,0.43633381316496744,0.43633381316496744,1.3877787807814457e-17,0.0,0.0,0.0006510751382685734,0.00015028668449209708,0.20897007953654045
